2018-12-29 12:15:51:364 CN: new_year_set, uid:5s1094p11877336, accumulative success, id:2
2018-12-29 12:15:57:323 CN: new_year_set, uid:5s1094p11877336, accumulative success, id:5
2018-12-29 12:36:54:983 CN: new_year_set, uid:24s1095p11268229, accumulative success, id:2
2018-12-29 12:37:02:796 CN: new_year_set, uid:24s1095p11268229, accumulative success, id:5
2018-12-29 12:45:27:045 CN: new_year_set, uid:4s1096p5359270, accumulative success, id:2
2018-12-29 12:45:30:406 CN: new_year_set, uid:4s1096p5359270, accumulative success, id:5
2018-12-29 13:17:12:570 CN: new_year_set, uid:19s1100p11651705, accumulative success, id:2
2018-12-29 13:21:21:222 CN: new_year_set, uid:19s1100p11295801, accumulative success, id:2
2018-12-29 13:21:22:625 CN: new_year_set, uid:19s1100p11295801, accumulative success, id:5
2018-12-29 13:42:38:827 CN: new_year_set, uid:3s1091p11246343, accumulative success, id:2
2018-12-29 14:31:30:233 CN: new_year_set, uid:3s1098p11294722, accumulative success, id:2
2018-12-29 15:20:28:994 CN: new_year_set, uid:19s1100p11651705, accumulative success, id:5
2018-12-29 15:46:38:519 CN: new_year_set, uid:14s1097p11285419, accumulative success, id:2
2018-12-29 15:46:39:619 CN: new_year_set, uid:14s1097p11285419, accumulative success, id:5
2018-12-29 16:21:49:137 CN: new_year_set, uid:56s1100p12817518, accumulative success, id:2
2018-12-29 16:21:51:417 CN: new_year_set, uid:56s1100p12817518, accumulative success, id:5
2018-12-29 17:21:28:490 CN: new_year_set, uid:6s1094p11262479, accumulative success, id:2
2018-12-29 17:29:24:749 CN: new_year_set, uid:6s1094p11262479, accumulative success, id:5
2018-12-29 18:09:15:270 CN: new_year_set, uid:5s1100p11308802, accumulative success, id:2
2018-12-29 18:14:47:431 CN: new_year_set, uid:5s1100p11308802, accumulative success, id:5
2018-12-29 18:17:18:844 CN: new_year_set, uid:24s1097p11279572, accumulative success, id:2
2018-12-29 18:17:20:974 CN: new_year_set, uid:24s1097p11279572, accumulative success, id:5
2018-12-29 18:58:46:616 CN: new_year_set, uid:3s1094p11258873, accumulative success, id:2
2018-12-29 19:16:18:356 CN: new_year_set, uid:14s1091p5444973, accumulative success, id:2
2018-12-29 19:16:19:672 CN: new_year_set, uid:14s1091p5444973, accumulative success, id:5
2018-12-29 19:19:26:327 CN: new_year_set, uid:3s1097p11282818, accumulative success, id:2
2018-12-29 19:20:05:687 CN: new_year_set, uid:3s1097p11282818, accumulative success, id:5
2018-12-29 19:22:02:249 CN: new_year_set, uid:78s1091p11236945, accumulative success, id:2
2018-12-29 19:22:49:366 CN: new_year_set, uid:14s1091p7903035, accumulative success, id:2
2018-12-29 19:22:50:387 CN: new_year_set, uid:14s1091p7903035, accumulative success, id:5
2018-12-29 19:32:59:936 CN: new_year_set, uid:10s1093p11252392, accumulative success, id:2
2018-12-29 19:33:01:807 CN: new_year_set, uid:10s1093p11252392, accumulative success, id:5
2018-12-29 19:40:35:371 CN: new_year_set, uid:34s1093p11844505, accumulative success, id:2
2018-12-29 19:40:37:453 CN: new_year_set, uid:34s1093p11844505, accumulative success, id:5
2018-12-29 20:05:28:567 CN: new_year_set, uid:6s1091p10829138, accumulative success, id:2
2018-12-29 20:05:31:835 CN: new_year_set, uid:6s1091p10829138, accumulative success, id:5
2018-12-29 20:50:52:921 CN: new_year_set, uid:9s1094p11263639, accumulative success, id:2
2018-12-29 21:05:13:089 CN: new_year_set, uid:9s1094p11263639, accumulative success, id:5
2018-12-29 21:42:40:467 CN: new_year_set, uid:2s1098p11292470, accumulative success, id:2
2018-12-29 21:49:59:462 CN: new_year_set, uid:2s1098p11292470, accumulative success, id:5
2018-12-29 22:14:10:520 CN: new_year_set, uid:6s1099p14907753, accumulative success, id:2
2018-12-29 22:16:11:286 CN: new_year_set, uid:6s1099p14907753, accumulative success, id:5
2018-12-29 22:50:30:859 CN: new_year_set, uid:24s1097p11297855, accumulative success, id:2
2018-12-29 22:50:34:689 CN: new_year_set, uid:24s1097p11297855, accumulative success, id:5
2018-12-29 23:42:30:108 CN: new_year_set, uid:56s1093p24463220, accumulative success, id:2
2018-12-29 23:42:31:343 CN: new_year_set, uid:56s1093p24463220, accumulative success, id:5
2018-12-30 00:14:22:232 CN: new_year_set, uid:5s1098p11289270, accumulative success, id:2
2018-12-30 00:14:25:263 CN: new_year_set, uid:5s1098p11289270, accumulative success, id:5
2018-12-30 02:46:25:844 CN: new_year_set, uid:56s1099p11293253, accumulative success, id:2
2018-12-30 02:46:28:584 CN: new_year_set, uid:56s1099p11293253, accumulative success, id:5
2018-12-30 03:23:28:068 CN: new_year_set, uid:56s1099p9985594, accumulative success, id:2
2018-12-30 03:23:30:859 CN: new_year_set, uid:56s1099p9985594, accumulative success, id:5
2018-12-30 06:23:41:701 CN: new_year_set, uid:34s1093p11844505, accumulative success, id:9
2018-12-30 07:46:52:523 CN: new_year_set, uid:3s1094p11258873, accumulative success, id:5
2018-12-30 07:50:06:272 CN: new_year_set, uid:4s1091p18791321, accumulative success, id:2
2018-12-30 08:01:31:566 CN: new_year_set, uid:4s1100p7498633, accumulative success, id:2
2018-12-30 08:18:54:660 CN: new_year_set, uid:34s1093p11844505, accumulative success, id:14
2018-12-30 09:06:12:282 CN: new_year_set, uid:4s1100p22016079, accumulative success, id:2
2018-12-30 10:03:49:136 CN: new_year_set, uid:24s1097p11279572, accumulative success, id:9
2018-12-30 10:07:08:899 CN: new_year_set, uid:78s1091p11236945, accumulative success, id:5
2018-12-30 10:21:24:685 CN: new_year_set, uid:4s1096p11273981, accumulative success, id:2
2018-12-30 10:21:56:832 CN: new_year_set, uid:4s1096p11273981, accumulative success, id:5
2018-12-30 10:32:54:972 CN: new_year_set, uid:6s1099p14907753, accumulative success, id:9
2018-12-30 10:53:08:166 CN: new_year_set, uid:3s1098p11294722, accumulative success, id:5
2018-12-30 11:18:43:363 CN: new_year_set, uid:3s1096p400647, accumulative success, id:2
2018-12-30 11:25:02:490 CN: new_year_set, uid:19s1100p11651705, accumulative success, id:9
2018-12-30 11:32:54:435 CN: new_year_set, uid:3s1096p400647, accumulative success, id:5
2018-12-30 11:33:55:511 CN: new_year_set, uid:93s1097p11283206, accumulative success, id:2
2018-12-30 11:33:57:310 CN: new_year_set, uid:93s1097p11283206, accumulative success, id:5
2018-12-30 11:45:33:268 CN: new_year_set, uid:10s1093p11252392, accumulative success, id:9
2018-12-30 12:07:59:457 CN: new_year_set, uid:56s1093p24463220, accumulative success, id:9
2018-12-30 12:32:42:803 CN: new_year_set, uid:18s1093p11363542, accumulative success, id:2
2018-12-30 12:35:24:040 CN: new_year_set, uid:2s1100p11313795, accumulative success, id:2
2018-12-30 12:35:27:430 CN: new_year_set, uid:2s1100p11313795, accumulative success, id:5
2018-12-30 12:39:31:797 CN: new_year_set, uid:4s1100p22016079, accumulative success, id:5
2018-12-30 12:48:32:488 CN: new_year_set, uid:6s1094p11262479, accumulative success, id:9
2018-12-30 12:49:25:287 CN: new_year_set, uid:3s1091p11246343, accumulative success, id:5
2018-12-30 13:19:23:037 CN: new_year_set, uid:56s1099p9985594, accumulative success, id:9
2018-12-30 13:19:24:237 CN: new_year_set, uid:56s1099p9985594, accumulative success, id:14
2018-12-30 13:50:07:755 CN: new_year_set, uid:2s1095p11264655, accumulative success, id:2
2018-12-30 13:50:09:020 CN: new_year_set, uid:2s1095p11264655, accumulative success, id:5
2018-12-30 14:00:03:337 CN: new_year_set, uid:5s1100p11308802, accumulative success, id:9
2018-12-30 14:01:30:084 CN: new_year_set, uid:24s1095p11268229, accumulative success, id:9
2018-12-30 14:50:36:812 CN: new_year_set, uid:14s1097p11285419, accumulative success, id:9
2018-12-30 15:20:48:868 CN: new_year_set, uid:16s1097p11285897, accumulative success, id:2
2018-12-30 15:20:54:188 CN: new_year_set, uid:16s1097p11285897, accumulative success, id:5
2018-12-30 16:29:18:528 CN: new_year_set, uid:18s1091p11239562, accumulative success, id:2
2018-12-30 16:45:46:504 CN: new_year_set, uid:6s1091p10829138, accumulative success, id:9
2018-12-30 18:33:10:691 CN: new_year_set, uid:56s1100p12817518, accumulative success, id:9
2018-12-30 19:07:49:424 CN: new_year_set, uid:19s1100p11295801, accumulative success, id:9
2018-12-30 19:55:49:537 CN: new_year_set, uid:93s1097p11283206, accumulative success, id:9
2018-12-30 21:10:55:154 CN: new_year_set, uid:24s1094p11261745, accumulative success, id:2
2018-12-30 21:10:56:267 CN: new_year_set, uid:24s1094p11261745, accumulative success, id:5
2018-12-30 21:38:58:073 CN: new_year_set, uid:56s1099p11293253, accumulative success, id:9
2018-12-30 21:41:16:522 CN: new_year_set, uid:56s1099p11293253, accumulative success, id:14
