2018-12-29 12:21:49:218 CN: new_year_set, uid:3s1808p17038424, accumulative success, id:2
2018-12-29 12:22:00:688 CN: new_year_set, uid:3s1808p17038424, accumulative success, id:5
2018-12-29 12:33:08:029 CN: new_year_set, uid:56s1809p17142185, accumulative success, id:2
2018-12-29 12:33:10:470 CN: new_year_set, uid:56s1809p17142185, accumulative success, id:5
2018-12-29 12:39:01:337 CN: new_year_set, uid:56s1810p17060058, accumulative success, id:2
2018-12-29 12:39:04:696 CN: new_year_set, uid:56s1810p17060058, accumulative success, id:5
2018-12-29 13:05:35:214 CN: new_year_set, uid:5s1805p10681069, accumulative success, id:2
2018-12-29 13:15:08:767 CN: new_year_set, uid:53s1806p17031565, accumulative success, id:2
2018-12-29 13:15:13:808 CN: new_year_set, uid:53s1806p17031565, accumulative success, id:5
2018-12-29 13:36:23:130 CN: new_year_set, uid:4s1802p281936, accumulative success, id:2
2018-12-29 13:42:39:030 CN: new_year_set, uid:56s1809p21070673, accumulative success, id:2
2018-12-29 13:42:49:669 CN: new_year_set, uid:56s1809p21070673, accumulative success, id:5
2018-12-29 14:10:58:147 CN: new_year_set, uid:56s1802p24811870, accumulative success, id:2
2018-12-29 14:14:02:959 CN: new_year_set, uid:56s1802p24811870, accumulative success, id:5
2018-12-29 14:53:01:356 CN: new_year_set, uid:14s1810p17057777, accumulative success, id:2
2018-12-29 14:53:17:150 CN: new_year_set, uid:14s1810p17057777, accumulative success, id:5
2018-12-29 15:03:01:691 CN: new_year_set, uid:56s1809p17177852, accumulative success, id:2
2018-12-29 15:03:03:131 CN: new_year_set, uid:56s1809p17177852, accumulative success, id:5
2018-12-29 15:18:27:089 CN: new_year_set, uid:4s1802p281936, accumulative success, id:5
2018-12-29 16:15:37:015 CN: new_year_set, uid:56s1801p17000742, accumulative success, id:2
2018-12-29 16:15:41:710 CN: new_year_set, uid:56s1801p17000742, accumulative success, id:5
2018-12-29 18:06:35:688 CN: new_year_set, uid:56s1801p25041940, accumulative success, id:2
2018-12-29 18:41:54:356 CN: new_year_set, uid:18s1803p11657319, accumulative success, id:2
2018-12-29 18:42:03:256 CN: new_year_set, uid:18s1803p11657319, accumulative success, id:5
