2018-12-29 12:43:27:942 CN: new_year_set, uid:2s1477p14472577, accumulative success, id:2
2018-12-29 12:44:50:668 CN: new_year_set, uid:4s1471p14809495, accumulative success, id:2
2018-12-29 12:47:56:473 CN: new_year_set, uid:4s1471p14809495, accumulative success, id:5
2018-12-29 12:48:56:684 CN: new_year_set, uid:5s1480p15049270, accumulative success, id:2
2018-12-29 12:49:00:629 CN: new_year_set, uid:5s1480p15049270, accumulative success, id:5
2018-12-29 13:07:26:146 CN: new_year_set, uid:16s1479p14486150, accumulative success, id:2
2018-12-29 14:12:26:064 CN: new_year_set, uid:3s1471p1905196, accumulative success, id:2
2018-12-29 14:12:27:847 CN: new_year_set, uid:3s1471p1905196, accumulative success, id:5
2018-12-29 15:17:57:361 CN: new_year_set, uid:56s1472p14434178, accumulative success, id:2
2018-12-29 15:18:01:797 CN: new_year_set, uid:56s1472p14434178, accumulative success, id:5
2018-12-29 18:27:10:517 CN: new_year_set, uid:6s1480p14494495, accumulative success, id:2
2018-12-29 18:27:25:345 CN: new_year_set, uid:36s1475p14450472, accumulative success, id:2
2018-12-29 18:27:28:367 CN: new_year_set, uid:36s1475p14450472, accumulative success, id:5
2018-12-29 18:53:50:135 CN: new_year_set, uid:5s1476p14457989, accumulative success, id:2
2018-12-29 18:54:00:592 CN: new_year_set, uid:5s1476p14457989, accumulative success, id:5
2018-12-29 19:00:40:377 CN: new_year_set, uid:6s1480p14494495, accumulative success, id:5
2018-12-29 19:40:57:189 CN: new_year_set, uid:10s1473p14434894, accumulative success, id:2
2018-12-29 19:41:02:308 CN: new_year_set, uid:10s1473p14434894, accumulative success, id:5
2018-12-29 20:00:08:542 CN: new_year_set, uid:31s1477p14471875, accumulative success, id:2
2018-12-29 20:00:11:522 CN: new_year_set, uid:31s1477p14471875, accumulative success, id:5
2018-12-29 20:35:58:950 CN: new_year_set, uid:4s1471p22930015, accumulative success, id:2
2018-12-29 20:36:00:355 CN: new_year_set, uid:4s1471p22930015, accumulative success, id:5
2018-12-29 20:47:40:006 CN: new_year_set, uid:3s1479p9003928, accumulative success, id:2
2018-12-29 20:47:43:602 CN: new_year_set, uid:3s1479p9003928, accumulative success, id:5
2018-12-29 20:50:25:084 CN: new_year_set, uid:10s1473p14434243, accumulative success, id:2
2018-12-29 20:50:26:465 CN: new_year_set, uid:10s1473p14434243, accumulative success, id:5
2018-12-29 20:54:39:281 CN: new_year_set, uid:16s1479p14486150, accumulative success, id:5
2018-12-29 21:08:44:872 CN: new_year_set, uid:5s1476p14480336, accumulative success, id:2
2018-12-29 21:08:46:790 CN: new_year_set, uid:5s1476p14480336, accumulative success, id:5
2018-12-29 21:09:51:527 CN: new_year_set, uid:14s1472p14429433, accumulative success, id:2
2018-12-29 21:09:53:986 CN: new_year_set, uid:14s1472p14429433, accumulative success, id:5
2018-12-29 21:37:19:744 CN: new_year_set, uid:16s1477p12358242, accumulative success, id:2
2018-12-29 21:48:20:751 CN: new_year_set, uid:56s1471p14416939, accumulative success, id:2
2018-12-29 21:57:55:394 CN: new_year_set, uid:14s1472p11858843, accumulative success, id:2
2018-12-29 21:58:09:276 CN: new_year_set, uid:14s1472p11858843, accumulative success, id:5
2018-12-29 22:15:01:539 CN: new_year_set, uid:14s1480p14491629, accumulative success, id:2
2018-12-29 22:15:11:023 CN: new_year_set, uid:14s1480p14491629, accumulative success, id:5
2018-12-29 22:39:33:668 CN: new_year_set, uid:3s1477p14470568, accumulative success, id:2
2018-12-29 22:41:29:792 CN: new_year_set, uid:16s1480p14487338, accumulative success, id:2
2018-12-29 22:41:33:281 CN: new_year_set, uid:16s1480p14487338, accumulative success, id:5
