2018-12-29 13:02:12:951 CN: new_year_set, uid:3s1786p16987085, accumulative success, id:2
2018-12-29 13:42:36:867 CN: new_year_set, uid:16s1785p16847486, accumulative success, id:2
2018-12-29 14:05:07:703 CN: new_year_set, uid:5s1787p14250914, accumulative success, id:2
2018-12-29 14:05:13:641 CN: new_year_set, uid:5s1787p14250914, accumulative success, id:5
2018-12-29 15:45:09:730 CN: new_year_set, uid:56s1788p16926915, accumulative success, id:2
2018-12-29 15:45:11:217 CN: new_year_set, uid:56s1788p16926915, accumulative success, id:5
2018-12-29 17:13:20:955 CN: new_year_set, uid:4s1782p14968265, accumulative success, id:2
2018-12-29 17:17:36:171 CN: new_year_set, uid:4s1782p14968265, accumulative success, id:5
2018-12-29 18:35:27:756 CN: new_year_set, uid:5s1789p16933118, accumulative success, id:2
2018-12-29 18:35:29:373 CN: new_year_set, uid:5s1789p16933118, accumulative success, id:5
2018-12-29 19:34:31:918 CN: new_year_set, uid:14s1782p16828383, accumulative success, id:2
2018-12-29 19:34:55:286 CN: new_year_set, uid:14s1782p16828383, accumulative success, id:5
2018-12-29 19:38:21:660 CN: new_year_set, uid:34s1786p16913072, accumulative success, id:2
2018-12-29 19:38:25:302 CN: new_year_set, uid:34s1786p16913072, accumulative success, id:5
2018-12-29 23:03:18:042 CN: new_year_set, uid:84s1782p8102229, accumulative success, id:2
2018-12-29 23:03:22:101 CN: new_year_set, uid:84s1782p8102229, accumulative success, id:5
2018-12-29 23:53:56:793 CN: new_year_set, uid:3s1789p14269310, accumulative success, id:2
2018-12-29 23:53:58:711 CN: new_year_set, uid:3s1789p14269310, accumulative success, id:5
2018-12-30 06:36:43:665 CN: new_year_set, uid:16s1788p14635604, accumulative success, id:2
2018-12-30 06:36:50:163 CN: new_year_set, uid:16s1788p14635604, accumulative success, id:5
2018-12-30 07:21:39:540 CN: new_year_set, uid:5s1787p14250914, accumulative success, id:9
2018-12-30 07:26:07:694 CN: new_year_set, uid:4s1782p14968265, accumulative success, id:9
2018-12-30 08:31:50:537 CN: new_year_set, uid:18s1785p16904803, accumulative success, id:2
2018-12-30 08:31:55:607 CN: new_year_set, uid:18s1785p16904803, accumulative success, id:5
2018-12-30 08:55:56:125 CN: new_year_set, uid:14s1782p16828383, accumulative success, id:9
2018-12-30 09:20:15:735 CN: new_year_set, uid:5s1789p16933118, accumulative success, id:9
2018-12-30 11:00:57:019 CN: new_year_set, uid:16s1786p16910758, accumulative success, id:2
2018-12-30 11:00:59:893 CN: new_year_set, uid:16s1786p16910758, accumulative success, id:5
2018-12-30 11:23:43:879 CN: new_year_set, uid:16s1784p9134927, accumulative success, id:2
2018-12-30 13:11:43:429 CN: new_year_set, uid:4s1784p16896822, accumulative success, id:2
2018-12-30 13:11:45:903 CN: new_year_set, uid:4s1784p16896822, accumulative success, id:5
2018-12-30 13:21:06:443 CN: new_year_set, uid:3s1786p16987085, accumulative success, id:5
2018-12-30 13:31:22:748 CN: new_year_set, uid:5s1787p16918010, accumulative success, id:2
2018-12-30 19:52:53:615 CN: new_year_set, uid:56s1787p16922817, accumulative success, id:2
2018-12-30 19:52:56:619 CN: new_year_set, uid:56s1787p16922817, accumulative success, id:5
2018-12-30 20:36:50:919 CN: new_year_set, uid:3s1789p14269310, accumulative success, id:9
2018-12-30 20:54:49:008 CN: new_year_set, uid:56s1786p16915149, accumulative success, id:2
2018-12-30 20:54:56:001 CN: new_year_set, uid:56s1786p16915149, accumulative success, id:5
2018-12-30 21:05:34:542 CN: new_year_set, uid:56s1787p16824622, accumulative success, id:2
2018-12-30 21:05:36:531 CN: new_year_set, uid:56s1787p16824622, accumulative success, id:5
