2018-12-29 12:18:04:230 CN: new_year_set, uid:24s1918p17686005, accumulative success, id:2
2018-12-29 12:18:05:443 CN: new_year_set, uid:24s1918p17686005, accumulative success, id:5
2018-12-29 12:18:05:880 CN: new_year_set, uid:3s1914p5957543, accumulative success, id:2
2018-12-29 12:18:11:455 CN: new_year_set, uid:3s1914p5957543, accumulative success, id:5
2018-12-29 12:34:17:822 CN: new_year_set, uid:78s1915p17679515, accumulative success, id:2
2018-12-29 12:34:19:304 CN: new_year_set, uid:78s1915p17679515, accumulative success, id:5
2018-12-29 12:46:55:611 CN: new_year_set, uid:4s1914p4104046, accumulative success, id:2
2018-12-29 13:24:27:754 CN: new_year_set, uid:56s1919p17691018, accumulative success, id:2
2018-12-29 13:54:04:432 CN: new_year_set, uid:5s1919p17700053, accumulative success, id:2
2018-12-29 13:54:07:213 CN: new_year_set, uid:5s1919p17700053, accumulative success, id:5
2018-12-29 14:13:32:229 CN: new_year_set, uid:78s1917p7861944, accumulative success, id:2
2018-12-29 14:13:38:453 CN: new_year_set, uid:78s1917p7861944, accumulative success, id:5
2018-12-29 14:22:10:213 CN: new_year_set, uid:56s1919p17691018, accumulative success, id:5
2018-12-29 16:00:46:827 CN: new_year_set, uid:3s1914p17668810, accumulative success, id:2
2018-12-29 16:15:29:218 CN: new_year_set, uid:18s1920p17704356, accumulative success, id:2
2018-12-29 16:15:30:776 CN: new_year_set, uid:18s1920p17704356, accumulative success, id:5
2018-12-29 16:33:02:705 CN: new_year_set, uid:2s1918p17690722, accumulative success, id:2
2018-12-29 16:33:04:425 CN: new_year_set, uid:2s1918p17690722, accumulative success, id:5
2018-12-29 17:49:37:241 CN: new_year_set, uid:3s1911p17646931, accumulative success, id:2
2018-12-29 17:50:36:318 CN: new_year_set, uid:56s1918p17677051, accumulative success, id:2
2018-12-29 17:50:38:094 CN: new_year_set, uid:56s1918p17677051, accumulative success, id:5
2018-12-29 17:56:57:049 CN: new_year_set, uid:3s1911p17646931, accumulative success, id:5
2018-12-29 17:57:55:075 CN: new_year_set, uid:4s1917p17687472, accumulative success, id:2
2018-12-29 18:36:01:207 CN: new_year_set, uid:4s1918p17691740, accumulative success, id:2
2018-12-29 18:54:31:624 CN: new_year_set, uid:16s1920p17705506, accumulative success, id:2
2018-12-29 19:26:26:070 CN: new_year_set, uid:18s1916p17694603, accumulative success, id:2
2018-12-29 19:26:55:813 CN: new_year_set, uid:16s1913p16925422, accumulative success, id:2
2018-12-29 19:27:05:054 CN: new_year_set, uid:16s1913p16925422, accumulative success, id:5
2018-12-29 19:30:07:818 CN: new_year_set, uid:18s1916p17694603, accumulative success, id:5
2018-12-29 19:58:12:949 CN: new_year_set, uid:3s1918p17693586, accumulative success, id:2
2018-12-29 19:58:18:353 CN: new_year_set, uid:3s1918p17693586, accumulative success, id:5
2018-12-29 20:16:04:306 CN: new_year_set, uid:56s1916p17681655, accumulative success, id:2
2018-12-29 20:16:07:230 CN: new_year_set, uid:56s1916p17681655, accumulative success, id:5
2018-12-29 23:27:15:930 CN: new_year_set, uid:4s1919p17691740, accumulative success, id:2
2018-12-29 23:33:41:769 CN: new_year_set, uid:4s1920p17705716, accumulative success, id:2
2018-12-29 23:33:45:274 CN: new_year_set, uid:4s1920p17705716, accumulative success, id:5
2018-12-29 23:42:50:827 CN: new_year_set, uid:93s1913p17661076, accumulative success, id:2
2018-12-29 23:42:54:570 CN: new_year_set, uid:93s1913p17661076, accumulative success, id:5
2018-12-30 01:04:06:799 CN: new_year_set, uid:10s1912p17651450, accumulative success, id:2
2018-12-30 07:20:00:202 CN: new_year_set, uid:10s1912p17651450, accumulative success, id:5
2018-12-30 07:37:51:293 CN: new_year_set, uid:3s1914p5957543, accumulative success, id:9
2018-12-30 07:59:07:894 CN: new_year_set, uid:56s1919p17691018, accumulative success, id:9
2018-12-30 08:13:10:464 CN: new_year_set, uid:56s1918p17677051, accumulative success, id:9
2018-12-30 08:20:08:425 CN: new_year_set, uid:4s1917p17687472, accumulative success, id:5
2018-12-30 08:20:44:803 CN: new_year_set, uid:5s1919p17700053, accumulative success, id:9
2018-12-30 08:38:55:773 CN: new_year_set, uid:4s1918p17691740, accumulative success, id:5
2018-12-30 09:43:13:132 CN: new_year_set, uid:4s1919p17691740, accumulative success, id:5
2018-12-30 09:52:43:912 CN: new_year_set, uid:56s1918p17693135, accumulative success, id:2
2018-12-30 09:52:46:986 CN: new_year_set, uid:56s1918p17693135, accumulative success, id:5
2018-12-30 10:51:25:650 CN: new_year_set, uid:78s1917p7861944, accumulative success, id:9
2018-12-30 11:08:22:773 CN: new_year_set, uid:78s1915p17679515, accumulative success, id:9
2018-12-30 11:29:21:310 CN: new_year_set, uid:4s1918p17691740, accumulative success, id:9
2018-12-30 12:01:10:404 CN: new_year_set, uid:4s1914p4104046, accumulative success, id:5
2018-12-30 12:12:28:033 CN: new_year_set, uid:3s1916p17684797, accumulative success, id:2
2018-12-30 12:12:34:621 CN: new_year_set, uid:3s1916p17684797, accumulative success, id:5
2018-12-30 12:18:25:400 CN: new_year_set, uid:16s1915p17683972, accumulative success, id:2
2018-12-30 12:29:42:639 CN: new_year_set, uid:16s1915p17683972, accumulative success, id:5
2018-12-30 13:12:37:294 CN: new_year_set, uid:18s1920p17704356, accumulative success, id:9
2018-12-30 13:17:02:262 CN: new_year_set, uid:56s1919p17691018, accumulative success, id:14
2018-12-30 13:34:04:786 CN: new_year_set, uid:78s1915p17678920, accumulative success, id:2
2018-12-30 14:57:51:870 CN: new_year_set, uid:3s1911p17646931, accumulative success, id:9
2018-12-30 15:08:08:209 CN: new_year_set, uid:24s1918p17686005, accumulative success, id:9
2018-12-30 15:46:10:619 CN: new_year_set, uid:56s1916p17681655, accumulative success, id:9
2018-12-30 16:45:27:273 CN: new_year_set, uid:56s1918p17693135, accumulative success, id:9
2018-12-30 16:45:28:771 CN: new_year_set, uid:56s1918p17693135, accumulative success, id:14
2018-12-30 17:27:36:838 CN: new_year_set, uid:6s1913p11034439, accumulative success, id:2
2018-12-30 17:58:24:021 CN: new_year_set, uid:19s1919p17697084, accumulative success, id:2
2018-12-30 17:58:25:585 CN: new_year_set, uid:19s1919p17697084, accumulative success, id:5
