2018-12-29 12:52:42:002 CN: new_year_set, uid:18s1707p16364291, accumulative success, id:2
2018-12-29 13:30:53:962 CN: new_year_set, uid:2s1701p16321278, accumulative success, id:2
2018-12-29 13:31:01:113 CN: new_year_set, uid:2s1701p16321278, accumulative success, id:5
2018-12-29 14:10:53:592 CN: new_year_set, uid:56s1703p16527146, accumulative success, id:2
2018-12-29 14:10:59:061 CN: new_year_set, uid:56s1703p16527146, accumulative success, id:5
2018-12-29 14:40:21:187 CN: new_year_set, uid:18s1710p16384743, accumulative success, id:2
2018-12-29 16:41:14:494 CN: new_year_set, uid:56s1710p16387705, accumulative success, id:2
2018-12-29 16:41:20:411 CN: new_year_set, uid:56s1710p16387705, accumulative success, id:5
2018-12-29 18:02:09:333 CN: new_year_set, uid:42s1707p16365912, accumulative success, id:2
2018-12-29 18:11:50:199 CN: new_year_set, uid:18s1710p16387617, accumulative success, id:2
2018-12-29 18:11:54:733 CN: new_year_set, uid:18s1710p16387617, accumulative success, id:5
2018-12-29 19:16:40:605 CN: new_year_set, uid:31s1703p16100470, accumulative success, id:2
2018-12-29 19:16:42:613 CN: new_year_set, uid:31s1703p16100470, accumulative success, id:5
2018-12-29 20:34:00:688 CN: new_year_set, uid:54s1707p17248487, accumulative success, id:2
2018-12-29 20:34:23:588 CN: new_year_set, uid:54s1707p17248487, accumulative success, id:5
2018-12-29 20:56:39:948 CN: new_year_set, uid:56s1708p16368954, accumulative success, id:2
2018-12-29 20:56:41:306 CN: new_year_set, uid:56s1708p16368954, accumulative success, id:5
2018-12-29 21:07:49:989 CN: new_year_set, uid:24s1704p16341298, accumulative success, id:2
2018-12-29 21:56:09:870 CN: new_year_set, uid:24s1704p16341298, accumulative success, id:5
2018-12-29 22:21:30:038 CN: new_year_set, uid:56s1707p16367199, accumulative success, id:2
2018-12-29 22:21:34:910 CN: new_year_set, uid:56s1707p16367199, accumulative success, id:5
2018-12-29 22:48:41:138 CN: new_year_set, uid:14s1704p16342042, accumulative success, id:2
2018-12-29 22:48:46:204 CN: new_year_set, uid:14s1704p16342042, accumulative success, id:5
2018-12-29 23:20:27:044 CN: new_year_set, uid:4s1708p12288321, accumulative success, id:2
2018-12-29 23:20:29:951 CN: new_year_set, uid:4s1708p12288321, accumulative success, id:5
2018-12-30 08:29:37:627 CN: new_year_set, uid:31s1703p16324416, accumulative success, id:2
2018-12-30 09:16:05:909 CN: new_year_set, uid:18s1707p16364291, accumulative success, id:5
2018-12-30 09:33:47:358 CN: new_year_set, uid:31s1703p16324416, accumulative success, id:5
2018-12-30 09:34:24:961 CN: new_year_set, uid:16s1709p12759235, accumulative success, id:2
2018-12-30 09:34:27:620 CN: new_year_set, uid:16s1709p12759235, accumulative success, id:5
