2018-12-29 12:51:24:675 CN: new_year_set, uid:56s2277p20653037, accumulative success, id:2
2018-12-29 12:51:26:120 CN: new_year_set, uid:56s2277p20653037, accumulative success, id:5
2018-12-29 12:58:52:055 CN: new_year_set, uid:18s2276p22975446, accumulative success, id:2
2018-12-29 13:09:38:939 CN: new_year_set, uid:56s2272p20547590, accumulative success, id:2
2018-12-29 13:13:02:435 CN: new_year_set, uid:56s2272p20547590, accumulative success, id:5
2018-12-29 13:13:04:541 CN: new_year_set, uid:56s2278p20736562, accumulative success, id:2
2018-12-29 13:13:05:643 CN: new_year_set, uid:56s2278p20736562, accumulative success, id:5
2018-12-29 13:13:27:447 CN: new_year_set, uid:10s2276p20525934, accumulative success, id:2
2018-12-29 13:13:44:332 CN: new_year_set, uid:10s2276p20525934, accumulative success, id:5
2018-12-29 13:19:56:157 CN: new_year_set, uid:56s2278p20737101, accumulative success, id:2
2018-12-29 13:20:10:904 CN: new_year_set, uid:56s2278p20737101, accumulative success, id:5
2018-12-29 13:29:56:275 CN: new_year_set, uid:56s2277p20653092, accumulative success, id:5
2018-12-29 13:29:57:537 CN: new_year_set, uid:56s2277p20653092, accumulative success, id:2
2018-12-29 13:52:10:148 CN: new_year_set, uid:2s2278p20905869, accumulative success, id:2
2018-12-29 13:52:15:556 CN: new_year_set, uid:2s2278p20905869, accumulative success, id:5
2018-12-29 14:03:04:030 CN: new_year_set, uid:18s2276p22975446, accumulative success, id:5
2018-12-29 15:06:46:641 CN: new_year_set, uid:16s2277p20604456, accumulative success, id:2
2018-12-29 15:06:50:519 CN: new_year_set, uid:16s2277p20604456, accumulative success, id:5
2018-12-29 15:18:19:494 CN: new_year_set, uid:5s2279p20557383, accumulative success, id:2
2018-12-29 16:23:01:963 CN: new_year_set, uid:56s2280p20826878, accumulative success, id:2
2018-12-29 16:23:04:826 CN: new_year_set, uid:56s2280p20826878, accumulative success, id:5
2018-12-29 17:10:32:129 CN: new_year_set, uid:56s2273p20738268, accumulative success, id:2
2018-12-29 17:10:33:745 CN: new_year_set, uid:56s2273p20738268, accumulative success, id:5
2018-12-29 18:14:29:114 CN: new_year_set, uid:56s2273p20626481, accumulative success, id:2
2018-12-29 18:59:21:426 CN: new_year_set, uid:4s2280p20563935, accumulative success, id:2
2018-12-29 18:59:22:877 CN: new_year_set, uid:4s2280p20563935, accumulative success, id:5
2018-12-29 19:54:36:078 CN: new_year_set, uid:19s2272p20480529, accumulative success, id:2
2018-12-29 20:02:09:422 CN: new_year_set, uid:5s2275p20378780, accumulative success, id:2
2018-12-29 20:02:13:921 CN: new_year_set, uid:5s2275p20378780, accumulative success, id:5
2018-12-29 20:47:39:676 CN: new_year_set, uid:56s2278p20737112, accumulative success, id:2
2018-12-29 20:47:46:517 CN: new_year_set, uid:56s2278p20737112, accumulative success, id:5
2018-12-29 21:36:44:298 CN: new_year_set, uid:56s2273p20664753, accumulative success, id:2
2018-12-29 21:36:49:704 CN: new_year_set, uid:56s2273p20664753, accumulative success, id:5
2018-12-29 22:59:30:985 CN: new_year_set, uid:56s2277p20640600, accumulative success, id:2
2018-12-29 22:59:32:405 CN: new_year_set, uid:56s2277p20640600, accumulative success, id:5
2018-12-29 23:03:48:851 CN: new_year_set, uid:12s2277p20540364, accumulative success, id:2
2018-12-29 23:05:27:651 CN: new_year_set, uid:12s2277p20540364, accumulative success, id:5
2018-12-30 04:43:19:522 CN: new_year_set, uid:14s2273p20495362, accumulative success, id:2
2018-12-30 08:12:19:078 CN: new_year_set, uid:56s2280p20826878, accumulative success, id:9
2018-12-30 08:12:49:264 CN: new_year_set, uid:19s2272p20480529, accumulative success, id:5
2018-12-30 08:13:41:189 CN: new_year_set, uid:2s2280p20739697, accumulative success, id:2
2018-12-30 08:13:43:635 CN: new_year_set, uid:2s2280p20739697, accumulative success, id:5
2018-12-30 08:51:22:764 CN: new_year_set, uid:56s2273p20626481, accumulative success, id:5
2018-12-30 08:59:55:643 CN: new_year_set, uid:10s2276p20525934, accumulative success, id:9
2018-12-30 09:18:21:204 CN: new_year_set, uid:5s2275p20378780, accumulative success, id:9
2018-12-30 09:45:21:009 CN: new_year_set, uid:56s2274p24645301, accumulative success, id:2
2018-12-30 09:45:22:333 CN: new_year_set, uid:56s2274p24645301, accumulative success, id:5
2018-12-30 10:07:40:166 CN: new_year_set, uid:2s2273p20611478, accumulative success, id:2
2018-12-30 10:07:42:663 CN: new_year_set, uid:56s2274p24645301, accumulative success, id:9
2018-12-30 10:35:14:539 CN: new_year_set, uid:3s2275p20473156, accumulative success, id:2
2018-12-30 10:43:32:695 CN: new_year_set, uid:16s2271p14885649, accumulative success, id:2
2018-12-30 10:57:37:467 CN: new_year_set, uid:16s2271p14885649, accumulative success, id:5
2018-12-30 11:12:58:113 CN: new_year_set, uid:7s2280p19580944, accumulative success, id:2
2018-12-30 11:13:00:103 CN: new_year_set, uid:7s2280p19580944, accumulative success, id:5
2018-12-30 11:15:05:027 CN: new_year_set, uid:16s2275p20511560, accumulative success, id:2
2018-12-30 11:15:06:559 CN: new_year_set, uid:16s2275p20511560, accumulative success, id:5
