2018-12-29 12:38:29:054 CN: new_year_set, uid:59s1493p11764049, accumulative success, id:2
2018-12-29 12:38:37:725 CN: new_year_set, uid:59s1493p11764049, accumulative success, id:5
2018-12-29 12:47:47:202 CN: new_year_set, uid:69s1500p14652102, accumulative success, id:2
2018-12-29 12:52:01:541 CN: new_year_set, uid:31s1497p14629024, accumulative success, id:5
2018-12-29 12:52:03:943 CN: new_year_set, uid:31s1497p14629024, accumulative success, id:2
2018-12-29 13:23:28:003 CN: new_year_set, uid:56s1498p14639339, accumulative success, id:2
2018-12-29 13:23:30:439 CN: new_year_set, uid:56s1498p14639339, accumulative success, id:5
2018-12-29 13:28:38:000 CN: new_year_set, uid:14s1492p14595084, accumulative success, id:2
2018-12-29 13:28:40:339 CN: new_year_set, uid:14s1492p14595084, accumulative success, id:5
2018-12-29 13:40:02:866 CN: new_year_set, uid:14s1496p14627730, accumulative success, id:2
2018-12-29 13:40:04:613 CN: new_year_set, uid:14s1496p14627730, accumulative success, id:5
2018-12-29 13:44:03:070 CN: new_year_set, uid:69s1500p14652102, accumulative success, id:5
2018-12-29 14:40:11:960 CN: new_year_set, uid:56s1495p24603113, accumulative success, id:2
2018-12-29 14:40:13:523 CN: new_year_set, uid:56s1495p24603113, accumulative success, id:5
2018-12-29 15:14:00:782 CN: new_year_set, uid:5s1495p14624703, accumulative success, id:2
2018-12-29 15:14:03:611 CN: new_year_set, uid:5s1495p14624703, accumulative success, id:5
2018-12-29 15:20:13:757 CN: new_year_set, uid:2s1493p16034785, accumulative success, id:2
2018-12-29 15:20:15:429 CN: new_year_set, uid:2s1493p16034785, accumulative success, id:5
2018-12-29 15:41:09:820 CN: new_year_set, uid:19s1494p14239030, accumulative success, id:2
2018-12-29 15:41:13:014 CN: new_year_set, uid:19s1494p14239030, accumulative success, id:5
2018-12-29 16:23:03:601 CN: new_year_set, uid:3s1491p14592014, accumulative success, id:2
2018-12-29 16:23:05:986 CN: new_year_set, uid:3s1491p14592014, accumulative success, id:5
2018-12-29 16:56:40:653 CN: new_year_set, uid:31s1498p14626767, accumulative success, id:2
2018-12-29 16:56:42:544 CN: new_year_set, uid:31s1498p14626767, accumulative success, id:5
2018-12-29 17:38:15:427 CN: new_year_set, uid:37s1500p6689243, accumulative success, id:5
2018-12-29 17:38:22:742 CN: new_year_set, uid:37s1500p6689243, accumulative success, id:2
2018-12-29 17:47:13:349 CN: new_year_set, uid:18s1500p2031913, accumulative success, id:2
2018-12-29 19:04:24:115 CN: new_year_set, uid:3s1495p24176831, accumulative success, id:2
2018-12-29 19:23:47:865 CN: new_year_set, uid:3s1494p14617977, accumulative success, id:2
2018-12-29 19:23:54:112 CN: new_year_set, uid:3s1494p14617977, accumulative success, id:5
2018-12-29 19:47:49:648 CN: new_year_set, uid:31s1492p14598492, accumulative success, id:2
2018-12-29 19:47:51:059 CN: new_year_set, uid:31s1492p14598492, accumulative success, id:5
2018-12-29 19:51:00:208 CN: new_year_set, uid:3s1492p10927573, accumulative success, id:2
2018-12-29 19:51:08:935 CN: new_year_set, uid:3s1492p10927573, accumulative success, id:5
