2018-12-29 13:36:09:350 CN: new_year_set, uid:16s1362p13508906, accumulative success, id:2
2018-12-29 13:36:12:630 CN: new_year_set, uid:16s1362p13508906, accumulative success, id:5
2018-12-29 13:43:38:855 CN: new_year_set, uid:3s1365p13530441, accumulative success, id:2
2018-12-29 13:46:03:822 CN: new_year_set, uid:3s1365p13659869, accumulative success, id:2
2018-12-29 13:46:06:171 CN: new_year_set, uid:3s1365p13659869, accumulative success, id:5
2018-12-29 13:46:35:239 CN: new_year_set, uid:3s1363p1974620, accumulative success, id:2
2018-12-29 13:46:49:267 CN: new_year_set, uid:3s1363p1974620, accumulative success, id:5
2018-12-29 13:58:39:431 CN: new_year_set, uid:10s1363p228586, accumulative success, id:2
2018-12-29 13:58:50:806 CN: new_year_set, uid:10s1363p228586, accumulative success, id:5
2018-12-29 14:30:23:304 CN: new_year_set, uid:56s1361p13490480, accumulative success, id:2
2018-12-29 14:30:28:947 CN: new_year_set, uid:56s1361p13490480, accumulative success, id:5
2018-12-29 17:58:05:423 CN: new_year_set, uid:16s1366p8067877, accumulative success, id:2
2018-12-29 21:01:02:608 CN: new_year_set, uid:5s1369p12882147, accumulative success, id:2
2018-12-29 21:01:14:955 CN: new_year_set, uid:5s1369p12882147, accumulative success, id:5
2018-12-29 21:17:38:811 CN: new_year_set, uid:16s1368p13556558, accumulative success, id:2
2018-12-29 21:31:00:757 CN: new_year_set, uid:3s1364p13527974, accumulative success, id:2
2018-12-29 21:39:32:979 CN: new_year_set, uid:56s1369p13539399, accumulative success, id:2
2018-12-29 21:39:52:479 CN: new_year_set, uid:16s1368p13556558, accumulative success, id:5
2018-12-29 23:37:13:215 CN: new_year_set, uid:59s1368p6567684, accumulative success, id:2
2018-12-29 23:37:16:421 CN: new_year_set, uid:59s1368p6567684, accumulative success, id:5
2018-12-29 23:37:29:653 CN: new_year_set, uid:12s1364p13524503, accumulative success, id:2
2018-12-29 23:37:35:417 CN: new_year_set, uid:12s1364p13524503, accumulative success, id:5
2018-12-29 23:41:27:259 CN: new_year_set, uid:5s1369p13808864, accumulative success, id:2
2018-12-29 23:41:35:831 CN: new_year_set, uid:5s1369p13808864, accumulative success, id:5
2018-12-29 23:50:48:788 CN: new_year_set, uid:18s1370p8645991, accumulative success, id:2
