2018-12-29 17:59:36:112 CN: new_year_set, uid:16s2811p24276445, accumulative success, id:2
2018-12-29 18:53:45:365 CN: new_year_set, uid:16s2811p24276445, accumulative success, id:5
2018-12-29 20:26:09:397 CN: new_year_set, uid:23s2811p24264117, accumulative success, id:2
2018-12-29 20:31:32:619 CN: new_year_set, uid:23s2811p24264117, accumulative success, id:5
2018-12-30 04:58:16:531 CN: new_year_set, uid:86s2811p24266414, accumulative success, id:2
2018-12-30 05:10:58:425 CN: new_year_set, uid:86s2811p24266414, accumulative success, id:5
2018-12-30 07:39:01:104 CN: new_year_set, uid:24s2811p24269229, accumulative success, id:2
2018-12-30 11:43:19:878 CN: new_year_set, uid:24s2811p24269229, accumulative success, id:5
2018-12-30 11:50:20:839 CN: new_year_set, uid:86s2811p24266414, accumulative success, id:9
2018-12-30 13:15:26:721 CN: new_year_set, uid:80s2811p24264776, accumulative success, id:2
2018-12-30 13:16:03:538 CN: new_year_set, uid:80s2811p24264776, accumulative success, id:5
2018-12-30 15:19:41:200 CN: new_year_set, uid:16s2811p24276445, accumulative success, id:9
2018-12-30 16:15:30:539 CN: new_year_set, uid:3s2811p17954507, accumulative success, id:2
2018-12-30 16:15:38:948 CN: new_year_set, uid:3s2811p17954507, accumulative success, id:5
2018-12-30 18:37:55:131 CN: new_year_set, uid:2s2811p24265798, accumulative success, id:2
2018-12-30 18:37:56:636 CN: new_year_set, uid:2s2811p24265798, accumulative success, id:5
2018-12-30 19:49:24:376 CN: new_year_set, uid:80s2811p24264776, accumulative success, id:9
2018-12-30 22:16:08:995 CN: new_year_set, uid:16s2811p24270959, accumulative success, id:2
2018-12-30 22:26:06:246 CN: new_year_set, uid:16s2811p24270959, accumulative success, id:5
2018-12-30 22:30:26:823 CN: new_year_set, uid:56s2811p24318406, accumulative success, id:2
2018-12-30 22:30:28:972 CN: new_year_set, uid:56s2811p24318406, accumulative success, id:5
2018-12-31 07:11:58:457 CN: new_year_set, uid:86s2811p24266414, accumulative success, id:14
2018-12-31 10:25:33:527 CN: new_year_set, uid:59s2811p23811613, accumulative success, id:2
2018-12-31 11:22:06:787 CN: new_year_set, uid:18s2811p3854813, accumulative success, id:2
2018-12-31 11:22:10:885 CN: new_year_set, uid:18s2811p3854813, accumulative success, id:5
2018-12-31 11:24:44:270 CN: new_year_set, uid:16s2811p24265359, accumulative success, id:2
2018-12-31 11:35:51:722 CN: new_year_set, uid:18s2811p3854813, accumulative success, id:9
2018-12-31 12:33:13:886 CN: new_year_set, uid:2s2811p24265798, accumulative success, id:9
2018-12-31 14:07:36:189 CN: new_year_set, uid:16s2811p24276445, accumulative success, id:14
2018-12-31 19:40:42:218 CN: new_year_set, uid:59s2811p24103584, accumulative success, id:2
2018-12-31 20:57:35:777 CN: new_year_set, uid:86s2811p24313525, accumulative success, id:2
2018-12-31 20:57:38:455 CN: new_year_set, uid:86s2811p24313525, accumulative success, id:5
2018-12-31 21:12:53:042 CN: new_year_set, uid:86s2811p24313525, accumulative success, id:9
2018-12-31 21:49:28:644 CN: new_year_set, uid:80s2811p24264776, accumulative success, id:14
2018-12-31 22:37:41:233 CN: new_year_set, uid:86s2811p24312145, accumulative success, id:2
2018-12-31 22:37:42:280 CN: new_year_set, uid:86s2811p24312145, accumulative success, id:5
2018-12-31 22:37:44:027 CN: new_year_set, uid:86s2811p24312145, accumulative success, id:9
2018-12-31 22:37:45:230 CN: new_year_set, uid:86s2811p24312145, accumulative success, id:14
2018-12-31 22:56:22:467 CN: new_year_set, uid:86s2811p24310646, accumulative success, id:2
2018-12-31 22:56:23:791 CN: new_year_set, uid:86s2811p24310646, accumulative success, id:5
2018-12-31 22:56:26:824 CN: new_year_set, uid:86s2811p24310646, accumulative success, id:9
2018-12-31 22:56:28:646 CN: new_year_set, uid:86s2811p24310646, accumulative success, id:14
2019-01-01 06:19:22:093 CN: new_year_set, uid:86s2811p24266414, accumulative success, id:20
2019-01-01 08:30:06:388 CN: new_year_set, uid:24s2811p24269229, accumulative success, id:9
2019-01-01 08:36:06:584 CN: new_year_set, uid:18s2811p3854813, accumulative success, id:14
2019-01-01 08:53:35:945 CN: new_year_set, uid:59s2811p23811613, accumulative success, id:5
2019-01-01 09:18:51:119 CN: new_year_set, uid:86s2811p24310646, accumulative success, id:20
2019-01-01 09:23:16:726 CN: new_year_set, uid:59s2811p23811613, accumulative success, id:9
2019-01-01 09:32:27:866 CN: new_year_set, uid:16s2811p24265359, accumulative success, id:5
2019-01-01 10:02:24:840 CN: new_year_set, uid:80s2811p24264776, accumulative success, id:20
2019-01-01 10:10:31:804 CN: new_year_set, uid:23s2811p24264117, accumulative success, id:9
2019-01-01 10:29:07:455 CN: new_year_set, uid:86s2811p24312145, accumulative success, id:20
2019-01-01 10:32:29:038 CN: new_year_set, uid:23s2811p24264117, accumulative success, id:14
2019-01-01 10:39:07:452 CN: new_year_set, uid:16s2811p24276445, accumulative success, id:20
2019-01-01 10:44:40:402 CN: new_year_set, uid:2s2811p24265798, accumulative success, id:14
2019-01-01 10:44:41:339 CN: new_year_set, uid:2s2811p24265798, accumulative success, id:20
2019-01-01 10:57:51:288 CN: new_year_set, uid:86s2811p24313525, accumulative success, id:14
2019-01-01 12:31:19:241 CN: new_year_set, uid:59s2811p23972606, accumulative success, id:2
2019-01-01 12:48:14:619 CN: new_year_set, uid:86s2811p24313525, accumulative success, id:20
2019-01-01 13:18:32:673 CN: new_year_set, uid:59s2811p23972606, accumulative success, id:5
2019-01-01 14:49:24:779 CN: new_year_set, uid:18s2811p17629612, accumulative success, id:2
2019-01-01 17:32:33:163 CN: new_year_set, uid:3s2811p17954507, accumulative success, id:9
2019-01-01 17:38:29:228 CN: new_year_set, uid:56s2811p24318406, accumulative success, id:14
2019-01-01 17:38:31:542 CN: new_year_set, uid:56s2811p24318406, accumulative success, id:9
2019-01-01 17:40:48:880 CN: new_year_set, uid:23s2811p24264117, accumulative success, id:20
2019-01-01 17:41:39:957 CN: new_year_set, uid:56s2811p24318406, accumulative success, id:20
2018-12-29 13:02:49:264 CN: new_year_set, uid:78s2813p24279244, accumulative success, id:2
2018-12-29 13:29:46:657 CN: new_year_set, uid:78s2813p24279244, accumulative success, id:5
2018-12-29 17:43:46:231 CN: new_year_set, uid:56s2813p24276302, accumulative success, id:2
2018-12-29 17:43:47:272 CN: new_year_set, uid:56s2813p24276302, accumulative success, id:5
2018-12-29 21:27:08:357 CN: new_year_set, uid:3s2813p24274933, accumulative success, id:2
2018-12-29 21:27:23:977 CN: new_year_set, uid:3s2813p24274933, accumulative success, id:5
2018-12-29 22:37:52:114 CN: new_year_set, uid:56s2813p23754899, accumulative success, id:2
2018-12-29 22:37:56:234 CN: new_year_set, uid:56s2813p23754899, accumulative success, id:5
2018-12-30 11:12:20:319 CN: new_year_set, uid:18s2813p24281358, accumulative success, id:2
2018-12-30 11:12:36:399 CN: new_year_set, uid:18s2813p24281358, accumulative success, id:5
2018-12-30 11:27:43:581 CN: new_year_set, uid:78s2813p24279244, accumulative success, id:9
2018-12-30 19:09:30:030 CN: new_year_set, uid:2s2813p24650293, accumulative success, id:2
2018-12-30 19:09:32:058 CN: new_year_set, uid:2s2813p24650293, accumulative success, id:5
2018-12-30 19:35:15:202 CN: new_year_set, uid:21s2813p22560057, accumulative success, id:2
2018-12-30 22:22:25:027 CN: new_year_set, uid:56s2813p23754899, accumulative success, id:9
2018-12-30 23:42:30:422 CN: new_year_set, uid:56s2813p23073244, accumulative success, id:2
