2018-12-29 12:44:50:631 CN: new_year_set, uid:18s2078p18326960, accumulative success, id:2
2018-12-29 12:45:11:672 CN: new_year_set, uid:4s2074p18761993, accumulative success, id:2
2018-12-29 13:05:02:652 CN: new_year_set, uid:4s2074p18761993, accumulative success, id:5
2018-12-29 13:18:25:355 CN: new_year_set, uid:18s2078p18326960, accumulative success, id:5
2018-12-29 13:22:27:884 CN: new_year_set, uid:16s2074p18761852, accumulative success, id:2
2018-12-29 13:22:30:901 CN: new_year_set, uid:16s2074p18761852, accumulative success, id:5
2018-12-29 13:30:46:051 CN: new_year_set, uid:56s2080p18814698, accumulative success, id:2
2018-12-29 13:30:52:791 CN: new_year_set, uid:56s2080p18814698, accumulative success, id:5
2018-12-29 13:48:51:676 CN: new_year_set, uid:16s2079p2806994, accumulative success, id:2
2018-12-29 14:05:02:723 CN: new_year_set, uid:5s2076p12735368, accumulative success, id:2
2018-12-29 15:18:48:791 CN: new_year_set, uid:5s2076p12735368, accumulative success, id:5
2018-12-29 16:42:43:869 CN: new_year_set, uid:56s2074p18798181, accumulative success, id:2
2018-12-29 16:42:48:082 CN: new_year_set, uid:56s2074p18798181, accumulative success, id:5
2018-12-29 18:24:53:562 CN: new_year_set, uid:16s2079p2806994, accumulative success, id:5
2018-12-29 18:31:57:524 CN: new_year_set, uid:18s2080p23387398, accumulative success, id:2
2018-12-29 19:11:04:853 CN: new_year_set, uid:4s2071p18743739, accumulative success, id:2
2018-12-29 20:12:26:898 CN: new_year_set, uid:5s2073p15259823, accumulative success, id:2
2018-12-29 20:30:50:578 CN: new_year_set, uid:2s2072p18744295, accumulative success, id:2
2018-12-29 20:37:47:046 CN: new_year_set, uid:15s2080p18819694, accumulative success, id:2
2018-12-29 20:39:24:339 CN: new_year_set, uid:15s2080p18819694, accumulative success, id:5
2018-12-29 20:45:21:554 CN: new_year_set, uid:56s2073p18751844, accumulative success, id:2
2018-12-29 21:10:05:376 CN: new_year_set, uid:56s2073p18751844, accumulative success, id:5
2018-12-29 22:32:52:062 CN: new_year_set, uid:56s2075p18772896, accumulative success, id:2
2018-12-29 22:32:53:398 CN: new_year_set, uid:56s2075p18772896, accumulative success, id:5
2018-12-29 22:51:16:714 CN: new_year_set, uid:56s2074p18759791, accumulative success, id:2
2018-12-29 22:51:18:501 CN: new_year_set, uid:56s2074p18759791, accumulative success, id:5
2018-12-29 23:24:30:438 CN: new_year_set, uid:56s2080p18839375, accumulative success, id:2
2018-12-29 23:24:32:679 CN: new_year_set, uid:56s2080p18839375, accumulative success, id:5
2018-12-29 23:26:31:970 CN: new_year_set, uid:56s2074p18761441, accumulative success, id:2
2018-12-29 23:51:54:227 CN: new_year_set, uid:4s2076p11748617, accumulative success, id:2
2018-12-29 23:51:56:310 CN: new_year_set, uid:4s2076p11748617, accumulative success, id:5
2018-12-29 23:52:27:554 CN: new_year_set, uid:18s2078p9781724, accumulative success, id:2
2018-12-29 23:52:34:224 CN: new_year_set, uid:18s2078p9781724, accumulative success, id:5
2018-12-29 23:55:53:700 CN: new_year_set, uid:31s2078p13487539, accumulative success, id:2
2018-12-29 23:55:55:510 CN: new_year_set, uid:31s2078p13487539, accumulative success, id:5
2018-12-30 00:42:39:478 CN: new_year_set, uid:56s2076p18647227, accumulative success, id:2
2018-12-30 00:42:41:893 CN: new_year_set, uid:56s2076p18647227, accumulative success, id:5
2018-12-30 07:12:14:233 CN: new_year_set, uid:56s2080p18814698, accumulative success, id:9
2018-12-30 08:26:32:657 CN: new_year_set, uid:56s2073p18751844, accumulative success, id:9
2018-12-30 09:23:31:596 CN: new_year_set, uid:15s2080p18819694, accumulative success, id:9
2018-12-30 09:53:40:391 CN: new_year_set, uid:18s2079p18805440, accumulative success, id:2
2018-12-30 10:01:10:661 CN: new_year_set, uid:4s2073p18755352, accumulative success, id:2
2018-12-30 10:03:25:524 CN: new_year_set, uid:4s2073p18755352, accumulative success, id:5
2018-12-30 10:10:52:830 CN: new_year_set, uid:16s2074p18761852, accumulative success, id:9
2018-12-30 10:12:06:845 CN: new_year_set, uid:56s2078p18657681, accumulative success, id:2
2018-12-30 10:12:07:975 CN: new_year_set, uid:56s2078p18657681, accumulative success, id:5
2018-12-30 10:33:23:716 CN: new_year_set, uid:4s2071p18743739, accumulative success, id:5
2018-12-30 10:56:16:814 CN: new_year_set, uid:5s2076p18783731, accumulative success, id:2
2018-12-30 10:57:23:948 CN: new_year_set, uid:5s2076p18783731, accumulative success, id:5
2018-12-30 11:56:54:249 CN: new_year_set, uid:56s2074p18798181, accumulative success, id:9
2018-12-30 12:07:13:986 CN: new_year_set, uid:2s2072p18744295, accumulative success, id:5
2018-12-30 12:36:33:923 CN: new_year_set, uid:56s2076p18647227, accumulative success, id:9
2018-12-30 12:41:44:561 CN: new_year_set, uid:2s2072p18744295, accumulative success, id:9
2018-12-30 12:52:46:130 CN: new_year_set, uid:59s2076p18786636, accumulative success, id:2
2018-12-30 12:59:55:251 CN: new_year_set, uid:56s2071p18201670, accumulative success, id:2
2018-12-30 12:59:57:358 CN: new_year_set, uid:56s2071p18201670, accumulative success, id:5
2018-12-30 13:04:42:462 CN: new_year_set, uid:56s2080p18839375, accumulative success, id:9
2018-12-30 13:08:50:733 CN: new_year_set, uid:16s2073p18753182, accumulative success, id:2
2018-12-30 13:08:52:348 CN: new_year_set, uid:16s2073p18753182, accumulative success, id:5
2018-12-30 13:10:14:577 CN: new_year_set, uid:4s2071p16358079, accumulative success, id:2
2018-12-30 13:10:17:199 CN: new_year_set, uid:4s2071p16358079, accumulative success, id:5
2018-12-30 13:19:24:515 CN: new_year_set, uid:14s2073p22955725, accumulative success, id:2
2018-12-30 14:04:15:162 CN: new_year_set, uid:18s2078p18326960, accumulative success, id:9
2018-12-30 14:39:33:784 CN: new_year_set, uid:56s2080p18814844, accumulative success, id:2
2018-12-30 14:40:31:493 CN: new_year_set, uid:3s2074p18768588, accumulative success, id:2
2018-12-30 14:45:40:505 CN: new_year_set, uid:3s2074p18768588, accumulative success, id:5
2018-12-30 14:48:51:464 CN: new_year_set, uid:56s2080p18814844, accumulative success, id:5
2018-12-30 15:00:46:493 CN: new_year_set, uid:56s2075p18772028, accumulative success, id:2
2018-12-30 15:00:50:365 CN: new_year_set, uid:56s2075p18772028, accumulative success, id:5
2018-12-30 15:01:57:430 CN: new_year_set, uid:56s2074p18761441, accumulative success, id:5
2018-12-30 15:03:32:550 CN: new_year_set, uid:56s2074p18761441, accumulative success, id:9
2018-12-30 15:48:45:053 CN: new_year_set, uid:56s2074p18798181, accumulative success, id:14
2018-12-30 17:10:03:577 CN: new_year_set, uid:4s2074p18761993, accumulative success, id:9
2018-12-30 17:18:46:218 CN: new_year_set, uid:56s2074p18769698, accumulative success, id:2
2018-12-30 17:18:48:426 CN: new_year_set, uid:56s2074p18769698, accumulative success, id:5
2018-12-30 18:16:30:801 CN: new_year_set, uid:15s2080p18819694, accumulative success, id:14
2018-12-30 18:45:43:271 CN: new_year_set, uid:16s2078p18808689, accumulative success, id:2
2018-12-30 18:46:06:556 CN: new_year_set, uid:16s2078p18808689, accumulative success, id:5
2018-12-30 18:48:58:412 CN: new_year_set, uid:5s2076p12735368, accumulative success, id:9
2018-12-30 19:18:47:764 CN: new_year_set, uid:5s2076p12735368, accumulative success, id:14
2018-12-30 19:56:41:300 CN: new_year_set, uid:5s2073p15259823, accumulative success, id:5
2018-12-30 21:15:38:227 CN: new_year_set, uid:56s2080p18874342, accumulative success, id:2
2018-12-30 21:15:39:811 CN: new_year_set, uid:56s2080p18874342, accumulative success, id:5
2018-12-30 21:38:54:803 CN: new_year_set, uid:16s2079p2806994, accumulative success, id:9
2018-12-30 22:04:23:115 CN: new_year_set, uid:14s2077p18903365, accumulative success, id:2
2018-12-30 22:11:21:893 CN: new_year_set, uid:4s2076p11748617, accumulative success, id:9
2018-12-30 22:27:17:038 CN: new_year_set, uid:56s2074p18759791, accumulative success, id:9
2018-12-31 00:23:27:865 CN: new_year_set, uid:18s2078p9781724, accumulative success, id:9
2018-12-31 04:49:36:381 CN: new_year_set, uid:56s2080p18814698, accumulative success, id:14
2018-12-31 08:12:45:672 CN: new_year_set, uid:56s2073p18751844, accumulative success, id:14
2018-12-31 08:26:48:833 CN: new_year_set, uid:59s2076p18786636, accumulative success, id:5
2018-12-31 08:30:42:721 CN: new_year_set, uid:4s2077p14862035, accumulative success, id:2
2018-12-31 08:30:55:283 CN: new_year_set, uid:4s2077p14862035, accumulative success, id:5
2018-12-31 09:19:13:779 CN: new_year_set, uid:4s2071p18743739, accumulative success, id:9
2018-12-31 10:45:14:301 CN: new_year_set, uid:56s2075p18772028, accumulative success, id:9
2018-12-31 10:48:23:682 CN: new_year_set, uid:5s2073p15259823, accumulative success, id:9
2018-12-31 11:00:55:716 CN: new_year_set, uid:18s2078p18326960, accumulative success, id:14
2018-12-31 11:26:25:843 CN: new_year_set, uid:14s2077p18903365, accumulative success, id:5
2018-12-31 11:28:39:049 CN: new_year_set, uid:15s2080p18819694, accumulative success, id:20
2018-12-31 11:52:29:569 CN: new_year_set, uid:56s2074p18798181, accumulative success, id:20
2018-12-31 11:55:39:307 CN: new_year_set, uid:56s2076p18647227, accumulative success, id:14
2018-12-31 11:56:52:094 CN: new_year_set, uid:3s2074p18770183, accumulative success, id:2
2018-12-31 12:09:26:136 CN: new_year_set, uid:4s2071p18805560, accumulative success, id:2
2018-12-31 12:09:57:279 CN: new_year_set, uid:4s2071p18805560, accumulative success, id:5
2018-12-31 12:32:47:458 CN: new_year_set, uid:56s2074p18761441, accumulative success, id:14
2018-12-31 12:34:57:519 CN: new_year_set, uid:4s2073p18755352, accumulative success, id:9
2018-12-31 12:46:06:086 CN: new_year_set, uid:56s2073p15387308, accumulative success, id:2
2018-12-31 12:46:07:866 CN: new_year_set, uid:56s2073p15387308, accumulative success, id:5
2018-12-31 12:56:18:352 CN: new_year_set, uid:56s2080p18856146, accumulative success, id:5
2018-12-31 12:56:19:910 CN: new_year_set, uid:56s2080p18856146, accumulative success, id:2
2018-12-31 13:06:46:118 CN: new_year_set, uid:56s2080p18839375, accumulative success, id:14
2018-12-31 13:18:09:810 CN: new_year_set, uid:2s2072p18744295, accumulative success, id:14
2018-12-31 13:33:18:537 CN: new_year_set, uid:3s2079p23746957, accumulative success, id:2
2018-12-31 13:33:26:512 CN: new_year_set, uid:3s2079p23746957, accumulative success, id:5
2018-12-31 13:40:25:751 CN: new_year_set, uid:14s2073p22955725, accumulative success, id:5
2018-12-31 13:48:19:840 CN: new_year_set, uid:18s2080p23387398, accumulative success, id:5
2018-12-31 14:02:11:120 CN: new_year_set, uid:16s2073p18753182, accumulative success, id:9
2018-12-31 14:14:11:545 CN: new_year_set, uid:59s2080p18555297, accumulative success, id:2
2018-12-31 14:18:42:017 CN: new_year_set, uid:59s2080p18555297, accumulative success, id:5
2018-12-31 14:27:01:866 CN: new_year_set, uid:56s2080p18874342, accumulative success, id:9
2018-12-31 14:28:04:759 CN: new_year_set, uid:56s2080p18814844, accumulative success, id:9
2018-12-31 14:32:10:320 CN: new_year_set, uid:59s2080p18555297, accumulative success, id:9
2018-12-31 14:35:27:972 CN: new_year_set, uid:16s2074p18761852, accumulative success, id:14
2018-12-31 15:01:06:649 CN: new_year_set, uid:3s2079p23746957, accumulative success, id:9
2018-12-31 15:01:27:893 CN: new_year_set, uid:3s2079p23746957, accumulative success, id:14
2018-12-31 15:11:37:634 CN: new_year_set, uid:16s2079p2806994, accumulative success, id:14
2018-12-31 15:18:30:668 CN: new_year_set, uid:56s2078p18657681, accumulative success, id:9
2018-12-31 15:35:29:949 CN: new_year_set, uid:56s2075p18772896, accumulative success, id:9
2018-12-31 16:36:46:221 CN: new_year_set, uid:5s2076p18783731, accumulative success, id:9
2018-12-31 16:55:35:119 CN: new_year_set, uid:5s2076p18783731, accumulative success, id:14
2018-12-31 17:10:53:400 CN: new_year_set, uid:93s2077p18790186, accumulative success, id:5
2018-12-31 17:10:56:495 CN: new_year_set, uid:93s2077p18790186, accumulative success, id:2
2018-12-31 18:09:24:881 CN: new_year_set, uid:2s2072p18744850, accumulative success, id:2
2018-12-31 18:09:30:297 CN: new_year_set, uid:2s2072p18744850, accumulative success, id:5
2018-12-31 18:09:34:846 CN: new_year_set, uid:2s2072p18744850, accumulative success, id:9
2018-12-31 18:10:44:603 CN: new_year_set, uid:4s2071p18743921, accumulative success, id:2
2018-12-31 18:51:55:801 CN: new_year_set, uid:42s2072p18833606, accumulative success, id:2
2018-12-31 18:51:57:018 CN: new_year_set, uid:42s2072p18833606, accumulative success, id:5
2018-12-31 18:54:45:741 CN: new_year_set, uid:18s2078p9781724, accumulative success, id:14
2018-12-31 20:50:19:233 CN: new_year_set, uid:3s2080p18885911, accumulative success, id:2
2018-12-31 21:56:25:516 CN: new_year_set, uid:56s2073p15387308, accumulative success, id:9
2018-12-31 22:02:57:137 CN: new_year_set, uid:56s2073p15387308, accumulative success, id:14
2018-12-31 22:33:38:777 CN: new_year_set, uid:56s2074p18759791, accumulative success, id:14
2018-12-31 23:44:21:534 CN: new_year_set, uid:4s2076p11748617, accumulative success, id:14
2018-12-31 23:50:59:400 CN: new_year_set, uid:5s2076p12735368, accumulative success, id:20
2019-01-01 00:07:20:135 CN: new_year_set, uid:56s2077p19196462, accumulative success, id:2
2019-01-01 00:07:21:261 CN: new_year_set, uid:56s2077p19196462, accumulative success, id:5
2019-01-01 00:07:22:660 CN: new_year_set, uid:56s2077p19196462, accumulative success, id:9
2019-01-01 04:29:43:760 CN: new_year_set, uid:4s2074p18761993, accumulative success, id:14
2019-01-01 04:49:23:692 CN: new_year_set, uid:56s2080p18814698, accumulative success, id:20
2019-01-01 07:23:24:299 CN: new_year_set, uid:4s2076p18781748, accumulative success, id:5
2019-01-01 07:23:25:973 CN: new_year_set, uid:4s2076p18781748, accumulative success, id:2
2019-01-01 07:32:13:027 CN: new_year_set, uid:56s2074p18759791, accumulative success, id:20
2019-01-01 08:19:20:946 CN: new_year_set, uid:4s2071p18743739, accumulative success, id:14
2019-01-01 08:27:28:393 CN: new_year_set, uid:56s2073p18751844, accumulative success, id:20
2019-01-01 08:42:32:911 CN: new_year_set, uid:16s2076p18075458, accumulative success, id:2
2019-01-01 08:44:50:613 CN: new_year_set, uid:56s2073p15387308, accumulative success, id:20
2019-01-01 08:52:33:222 CN: new_year_set, uid:54s2076p25055551, accumulative success, id:2
2019-01-01 10:08:24:976 CN: new_year_set, uid:56s2075p18772028, accumulative success, id:20
2019-01-01 10:08:31:011 CN: new_year_set, uid:56s2075p18772028, accumulative success, id:14
2019-01-01 10:33:07:133 CN: new_year_set, uid:4s2077p18792382, accumulative success, id:2
2019-01-01 10:33:11:978 CN: new_year_set, uid:4s2077p18792382, accumulative success, id:5
2019-01-01 11:05:10:139 CN: new_year_set, uid:18s2078p18326960, accumulative success, id:20
2019-01-01 11:26:25:766 CN: new_year_set, uid:56s2080p18839375, accumulative success, id:20
2019-01-01 11:53:06:727 CN: new_year_set, uid:18s2078p9781724, accumulative success, id:20
2019-01-01 12:19:59:103 CN: new_year_set, uid:5s2076p18783731, accumulative success, id:20
2019-01-01 13:03:25:857 CN: new_year_set, uid:16s2073p18753182, accumulative success, id:14
2019-01-01 13:09:01:168 CN: new_year_set, uid:3s2074p18770183, accumulative success, id:5
2019-01-01 13:09:23:208 CN: new_year_set, uid:3s2079p23746957, accumulative success, id:20
2019-01-01 13:35:36:007 CN: new_year_set, uid:93s2077p18790186, accumulative success, id:9
2019-01-01 13:35:37:359 CN: new_year_set, uid:93s2077p18790186, accumulative success, id:14
2019-01-01 13:36:51:095 CN: new_year_set, uid:16s2073p18753182, accumulative success, id:20
2019-01-01 13:50:41:220 CN: new_year_set, uid:16s2079p2806994, accumulative success, id:20
2019-01-01 14:08:11:354 CN: new_year_set, uid:42s2072p18833606, accumulative success, id:9
2019-01-01 14:12:23:021 CN: new_year_set, uid:2s2072p18744295, accumulative success, id:20
2019-01-01 14:34:59:184 CN: new_year_set, uid:16s2077p10846469, accumulative success, id:2
2019-01-01 14:35:13:950 CN: new_year_set, uid:4s2080p18816683, accumulative success, id:2
2019-01-01 14:35:17:261 CN: new_year_set, uid:4s2080p18816683, accumulative success, id:5
2019-01-01 14:52:45:636 CN: new_year_set, uid:56s2076p18647227, accumulative success, id:20
2019-01-01 15:06:25:006 CN: new_year_set, uid:56s2075p18772896, accumulative success, id:20
2019-01-01 15:06:26:818 CN: new_year_set, uid:56s2075p18772896, accumulative success, id:14
2019-01-01 15:11:17:836 CN: new_year_set, uid:56s2074p18761441, accumulative success, id:20
2019-01-01 15:15:30:464 CN: new_year_set, uid:2s2072p18744850, accumulative success, id:14
2019-01-01 15:16:12:767 CN: new_year_set, uid:4s2076p11748617, accumulative success, id:20
2019-01-01 17:26:12:654 CN: new_year_set, uid:56s2078p18657681, accumulative success, id:14
2019-01-01 18:27:36:014 CN: new_year_set, uid:16s2074p18761852, accumulative success, id:20
2019-01-01 18:28:25:408 CN: new_year_set, uid:59s2076p18786636, accumulative success, id:9
2019-01-01 20:10:21:242 CN: new_year_set, uid:16s2073p18752990, accumulative success, id:2
2019-01-01 20:10:30:122 CN: new_year_set, uid:16s2073p18752990, accumulative success, id:9
2019-01-01 20:10:32:682 CN: new_year_set, uid:16s2073p18752990, accumulative success, id:5
2019-01-01 23:25:35:789 CN: new_year_set, uid:56s2077p19194389, accumulative success, id:14
2019-01-01 23:25:37:856 CN: new_year_set, uid:56s2077p19194389, accumulative success, id:9
2019-01-01 23:41:11:639 CN: new_year_set, uid:56s2077p19194389, accumulative success, id:5
2019-01-01 23:41:13:268 CN: new_year_set, uid:56s2077p19194389, accumulative success, id:2
2018-12-29 12:11:52:946 CN: new_year_set, uid:18s2498p22084843, accumulative success, id:2
2018-12-29 12:36:05:141 CN: new_year_set, uid:16s2491p17834530, accumulative success, id:2
2018-12-29 12:39:52:921 CN: new_year_set, uid:16s2491p17834530, accumulative success, id:5
2018-12-29 12:43:46:391 CN: new_year_set, uid:24s2500p24914312, accumulative success, id:2
2018-12-29 12:43:48:797 CN: new_year_set, uid:24s2500p24914312, accumulative success, id:5
2018-12-29 12:52:14:012 CN: new_year_set, uid:2s2500p22052002, accumulative success, id:2
2018-12-29 12:52:24:504 CN: new_year_set, uid:2s2500p22052002, accumulative success, id:5
2018-12-29 12:53:36:287 CN: new_year_set, uid:18s2498p22084843, accumulative success, id:5
2018-12-29 13:00:07:011 CN: new_year_set, uid:12s2500p22197518, accumulative success, id:2
2018-12-29 13:00:18:494 CN: new_year_set, uid:12s2500p22197518, accumulative success, id:5
2018-12-29 13:03:03:842 CN: new_year_set, uid:56s2500p22254232, accumulative success, id:5
2018-12-29 13:03:05:504 CN: new_year_set, uid:56s2500p22254232, accumulative success, id:2
2018-12-29 13:04:55:714 CN: new_year_set, uid:36s2500p23794749, accumulative success, id:2
2018-12-29 13:05:05:723 CN: new_year_set, uid:36s2500p23794749, accumulative success, id:5
2018-12-29 13:15:28:433 CN: new_year_set, uid:102s2494p22066653, accumulative success, id:2
2018-12-29 13:15:46:342 CN: new_year_set, uid:16s2491p22037263, accumulative success, id:2
2018-12-29 13:15:48:549 CN: new_year_set, uid:16s2491p22037263, accumulative success, id:5
2018-12-29 13:21:41:622 CN: new_year_set, uid:5s2494p18844483, accumulative success, id:2
2018-12-29 13:21:43:307 CN: new_year_set, uid:5s2494p18844483, accumulative success, id:5
2018-12-29 13:51:49:281 CN: new_year_set, uid:102s2494p22066653, accumulative success, id:5
2018-12-29 13:59:01:802 CN: new_year_set, uid:2s2496p22095476, accumulative success, id:2
2018-12-29 13:59:10:664 CN: new_year_set, uid:12s2498p22087007, accumulative success, id:2
2018-12-29 14:10:06:356 CN: new_year_set, uid:56s2500p22106483, accumulative success, id:2
2018-12-29 14:10:08:320 CN: new_year_set, uid:56s2500p22106483, accumulative success, id:5
2018-12-29 14:10:16:977 CN: new_year_set, uid:12s2498p22087007, accumulative success, id:5
2018-12-29 14:10:39:234 CN: new_year_set, uid:80s2497p22145131, accumulative success, id:2
2018-12-29 14:20:05:024 CN: new_year_set, uid:56s2499p22244790, accumulative success, id:2
2018-12-29 14:20:11:955 CN: new_year_set, uid:56s2499p22244790, accumulative success, id:5
2018-12-29 14:23:09:207 CN: new_year_set, uid:56s2496p22072530, accumulative success, id:2
2018-12-29 14:32:07:521 CN: new_year_set, uid:56s2496p22120617, accumulative success, id:2
2018-12-29 14:32:32:838 CN: new_year_set, uid:56s2496p22120617, accumulative success, id:5
