2018-12-29 12:33:48:109 CN: new_year_set, uid:16s1437p14137583, accumulative success, id:2
2018-12-29 12:33:49:640 CN: new_year_set, uid:16s1437p14137583, accumulative success, id:5
2018-12-29 13:04:51:916 CN: new_year_set, uid:25s1433p14137158, accumulative success, id:2
2018-12-29 13:04:58:487 CN: new_year_set, uid:25s1433p14137158, accumulative success, id:5
2018-12-29 13:07:54:198 CN: new_year_set, uid:66s1439p13518246, accumulative success, id:2
2018-12-29 13:07:56:767 CN: new_year_set, uid:66s1439p13518246, accumulative success, id:5
2018-12-29 13:26:46:135 CN: new_year_set, uid:18s1432p12976604, accumulative success, id:2
2018-12-29 13:34:12:002 CN: new_year_set, uid:18s1432p12976604, accumulative success, id:5
2018-12-29 14:32:02:195 CN: new_year_set, uid:10s1438p14142134, accumulative success, id:2
2018-12-29 14:32:15:483 CN: new_year_set, uid:5s1437p14135282, accumulative success, id:2
2018-12-29 14:32:18:244 CN: new_year_set, uid:5s1437p14135282, accumulative success, id:5
2018-12-29 14:36:56:396 CN: new_year_set, uid:10s1435p14118876, accumulative success, id:2
2018-12-29 14:48:44:407 CN: new_year_set, uid:10s1435p14118876, accumulative success, id:5
2018-12-29 15:38:16:741 CN: new_year_set, uid:0s1440p19561340, accumulative success, id:2
2018-12-29 15:49:12:988 CN: new_year_set, uid:24s1433p14109331, accumulative success, id:2
2018-12-29 15:49:14:927 CN: new_year_set, uid:24s1433p14109331, accumulative success, id:5
2018-12-29 15:51:25:389 CN: new_year_set, uid:56s1435p14116746, accumulative success, id:2
2018-12-29 15:51:29:556 CN: new_year_set, uid:56s1435p14116746, accumulative success, id:5
2018-12-29 15:55:00:058 CN: new_year_set, uid:31s1436p14128939, accumulative success, id:2
2018-12-29 15:55:10:693 CN: new_year_set, uid:31s1436p14128939, accumulative success, id:5
2018-12-29 16:01:02:601 CN: new_year_set, uid:56s1438p14142633, accumulative success, id:2
2018-12-29 16:01:04:842 CN: new_year_set, uid:56s1438p14142633, accumulative success, id:5
2018-12-29 16:35:06:559 CN: new_year_set, uid:3s1433p14107112, accumulative success, id:2
2018-12-29 16:35:10:859 CN: new_year_set, uid:3s1433p14107112, accumulative success, id:5
2018-12-29 17:11:00:332 CN: new_year_set, uid:14s1440p15795323, accumulative success, id:2
2018-12-29 17:44:33:006 CN: new_year_set, uid:3s1439p14154922, accumulative success, id:2
2018-12-29 17:44:37:676 CN: new_year_set, uid:3s1439p14154922, accumulative success, id:5
2018-12-29 18:36:17:845 CN: new_year_set, uid:19s1434p6656352, accumulative success, id:2
2018-12-29 18:36:20:103 CN: new_year_set, uid:19s1434p6656352, accumulative success, id:5
2018-12-29 19:48:48:945 CN: new_year_set, uid:10s1438p14142134, accumulative success, id:5
2018-12-29 20:26:16:358 CN: new_year_set, uid:3s1437p23516572, accumulative success, id:2
2018-12-29 20:26:36:846 CN: new_year_set, uid:56s1435p14120779, accumulative success, id:2
2018-12-29 20:26:38:573 CN: new_year_set, uid:56s1435p14120779, accumulative success, id:5
2018-12-29 21:34:45:996 CN: new_year_set, uid:3s1440p14154970, accumulative success, id:2
2018-12-29 22:28:01:810 CN: new_year_set, uid:14s1440p14164945, accumulative success, id:2
2018-12-29 22:53:29:379 CN: new_year_set, uid:14s1440p14164945, accumulative success, id:5
2018-12-29 22:55:37:508 CN: new_year_set, uid:14s1438p14123978, accumulative success, id:2
2018-12-29 22:55:47:448 CN: new_year_set, uid:14s1438p14123978, accumulative success, id:5
2018-12-30 00:28:45:839 CN: new_year_set, uid:24s1433p14108627, accumulative success, id:2
2018-12-30 00:28:48:807 CN: new_year_set, uid:24s1433p14108627, accumulative success, id:5
2018-12-30 00:51:42:352 CN: new_year_set, uid:56s1431p14084381, accumulative success, id:2
2018-12-30 00:51:43:803 CN: new_year_set, uid:56s1431p14084381, accumulative success, id:5
2018-12-30 05:01:44:233 CN: new_year_set, uid:3s1433p14107112, accumulative success, id:9
2018-12-30 06:21:48:124 CN: new_year_set, uid:10s1440p14169832, accumulative success, id:2
2018-12-30 06:21:49:886 CN: new_year_set, uid:10s1440p14169832, accumulative success, id:5
2018-12-30 06:25:38:349 CN: new_year_set, uid:25s1433p14137158, accumulative success, id:9
2018-12-30 07:53:43:689 CN: new_year_set, uid:56s1435p14120779, accumulative success, id:9
2018-12-30 08:16:19:662 CN: new_year_set, uid:0s1440p19561340, accumulative success, id:5
2018-12-30 09:26:00:441 CN: new_year_set, uid:5s1437p14135282, accumulative success, id:9
2018-12-30 09:36:34:476 CN: new_year_set, uid:31s1436p14128939, accumulative success, id:9
2018-12-30 09:46:14:863 CN: new_year_set, uid:18s1438p2862980, accumulative success, id:2
2018-12-30 10:03:56:491 CN: new_year_set, uid:25s1433p14137158, accumulative success, id:14
2018-12-30 10:14:48:893 CN: new_year_set, uid:10s1434p135271, accumulative success, id:2
2018-12-30 10:14:53:734 CN: new_year_set, uid:10s1434p135271, accumulative success, id:5
2018-12-30 10:22:13:803 CN: new_year_set, uid:18s1438p2862980, accumulative success, id:5
2018-12-30 10:30:15:488 CN: new_year_set, uid:16s1439p14177106, accumulative success, id:2
2018-12-30 10:48:45:335 CN: new_year_set, uid:66s1439p13518246, accumulative success, id:9
2018-12-30 11:00:02:055 CN: new_year_set, uid:3s1438p14150793, accumulative success, id:2
2018-12-30 11:02:39:492 CN: new_year_set, uid:56s1440p14082360, accumulative success, id:2
2018-12-30 11:02:45:197 CN: new_year_set, uid:56s1440p14082360, accumulative success, id:5
2018-12-30 11:17:44:343 CN: new_year_set, uid:24s1433p14108627, accumulative success, id:9
2018-12-30 11:22:05:038 CN: new_year_set, uid:4s1439p14154881, accumulative success, id:5
2018-12-30 11:22:06:707 CN: new_year_set, uid:4s1439p14154881, accumulative success, id:2
2018-12-30 11:34:48:766 CN: new_year_set, uid:31s1436p14128939, accumulative success, id:14
2018-12-30 11:54:41:436 CN: new_year_set, uid:3s1437p23516572, accumulative success, id:5
2018-12-30 11:58:40:663 CN: new_year_set, uid:16s1437p14137583, accumulative success, id:9
2018-12-30 12:00:51:350 CN: new_year_set, uid:24s1435p14118360, accumulative success, id:2
2018-12-30 12:00:53:543 CN: new_year_set, uid:24s1435p14118360, accumulative success, id:5
2018-12-30 12:00:55:802 CN: new_year_set, uid:24s1435p14118360, accumulative success, id:9
2018-12-30 12:03:40:207 CN: new_year_set, uid:10s1438p14142134, accumulative success, id:9
2018-12-30 12:07:57:892 CN: new_year_set, uid:3s1436p14123839, accumulative success, id:2
2018-12-30 12:16:49:099 CN: new_year_set, uid:10s1439p5654188, accumulative success, id:2
2018-12-30 12:16:51:981 CN: new_year_set, uid:10s1439p5654188, accumulative success, id:5
2018-12-30 12:16:54:288 CN: new_year_set, uid:10s1439p5654188, accumulative success, id:9
2018-12-30 12:41:13:304 CN: new_year_set, uid:10s1431p14089839, accumulative success, id:2
2018-12-30 12:53:27:660 CN: new_year_set, uid:10s1431p14089839, accumulative success, id:5
2018-12-30 13:17:14:611 CN: new_year_set, uid:10s1435p14118876, accumulative success, id:9
2018-12-30 13:23:00:546 CN: new_year_set, uid:24s1433p14109331, accumulative success, id:9
2018-12-30 13:54:14:339 CN: new_year_set, uid:19s1434p6656352, accumulative success, id:9
2018-12-30 14:02:19:555 CN: new_year_set, uid:14s1433p5419034, accumulative success, id:2
2018-12-30 14:02:21:473 CN: new_year_set, uid:14s1433p5419034, accumulative success, id:5
2018-12-30 14:36:18:466 CN: new_year_set, uid:56s1435p14116746, accumulative success, id:9
2018-12-30 15:32:23:727 CN: new_year_set, uid:10s1431p14089839, accumulative success, id:9
2018-12-30 16:33:01:378 CN: new_year_set, uid:3s1440p14154970, accumulative success, id:5
2018-12-30 16:42:42:319 CN: new_year_set, uid:2s1437p14138158, accumulative success, id:2
2018-12-30 16:42:48:231 CN: new_year_set, uid:2s1437p14138158, accumulative success, id:5
2018-12-30 16:42:57:397 CN: new_year_set, uid:2s1437p14138158, accumulative success, id:9
2018-12-30 17:00:40:545 CN: new_year_set, uid:10s1435p14123106, accumulative success, id:2
2018-12-30 17:00:42:103 CN: new_year_set, uid:10s1435p14123106, accumulative success, id:5
2018-12-30 17:14:47:059 CN: new_year_set, uid:3s1438p14150793, accumulative success, id:5
2018-12-30 18:13:15:439 CN: new_year_set, uid:12s1438p12430069, accumulative success, id:2
2018-12-30 18:13:22:536 CN: new_year_set, uid:12s1438p12430069, accumulative success, id:5
2018-12-30 18:57:58:079 CN: new_year_set, uid:3s1438p14150793, accumulative success, id:9
2018-12-30 19:03:31:648 CN: new_year_set, uid:18s1432p12976604, accumulative success, id:9
2018-12-30 19:12:12:257 CN: new_year_set, uid:19s1434p14113708, accumulative success, id:2
2018-12-30 19:30:30:709 CN: new_year_set, uid:3s1436p14114423, accumulative success, id:2
2018-12-30 19:30:32:697 CN: new_year_set, uid:3s1436p14114423, accumulative success, id:5
2018-12-30 19:41:17:960 CN: new_year_set, uid:56s1440p14163766, accumulative success, id:2
2018-12-30 19:41:25:816 CN: new_year_set, uid:56s1440p14163766, accumulative success, id:5
2018-12-30 19:58:28:046 CN: new_year_set, uid:19s1434p14113708, accumulative success, id:5
2018-12-30 20:33:31:345 CN: new_year_set, uid:19s1438p10489739, accumulative success, id:2
2018-12-30 20:33:36:073 CN: new_year_set, uid:19s1438p10489739, accumulative success, id:5
2018-12-30 21:12:34:098 CN: new_year_set, uid:6s1440p14163370, accumulative success, id:2
2018-12-30 21:27:19:034 CN: new_year_set, uid:6s1440p14163370, accumulative success, id:5
2018-12-30 22:29:19:032 CN: new_year_set, uid:14s1436p12457012, accumulative success, id:2
2018-12-30 22:29:21:332 CN: new_year_set, uid:14s1436p12457012, accumulative success, id:5
2018-12-30 23:20:25:515 CN: new_year_set, uid:14s1438p14123978, accumulative success, id:9
2018-12-30 23:59:13:828 CN: new_year_set, uid:56s1431p14084381, accumulative success, id:9
2018-12-31 00:22:23:679 CN: new_year_set, uid:10s1434p135271, accumulative success, id:9
2018-12-31 01:55:45:031 CN: new_year_set, uid:14s1436p12457012, accumulative success, id:9
2018-12-31 05:10:45:314 CN: new_year_set, uid:19s1434p6656352, accumulative success, id:14
2018-12-31 07:03:39:739 CN: new_year_set, uid:25s1433p14137158, accumulative success, id:20
2018-12-31 07:15:29:775 CN: new_year_set, uid:10s1440p14169832, accumulative success, id:9
2018-12-31 07:26:08:021 CN: new_year_set, uid:3s1433p14107112, accumulative success, id:14
2018-12-31 08:38:48:794 CN: new_year_set, uid:16s1439p14177106, accumulative success, id:5
2018-12-31 08:46:12:161 CN: new_year_set, uid:16s1437p14135822, accumulative success, id:2
2018-12-31 08:46:14:730 CN: new_year_set, uid:16s1437p14135822, accumulative success, id:5
2018-12-31 08:54:05:702 CN: new_year_set, uid:56s1440p14082360, accumulative success, id:9
2018-12-31 09:24:25:742 CN: new_year_set, uid:56s1435p14120779, accumulative success, id:14
2018-12-31 09:38:53:108 CN: new_year_set, uid:5s1437p14135282, accumulative success, id:14
2018-12-31 09:44:00:401 CN: new_year_set, uid:0s1440p19561340, accumulative success, id:9
2018-12-31 09:53:24:164 CN: new_year_set, uid:10s1435p14118876, accumulative success, id:14
2018-12-31 09:55:45:244 CN: new_year_set, uid:2s1436p14114648, accumulative success, id:2
2018-12-31 09:55:47:041 CN: new_year_set, uid:2s1436p14114648, accumulative success, id:5
2018-12-31 10:00:59:635 CN: new_year_set, uid:16s1437p14135822, accumulative success, id:9
2018-12-31 10:03:48:324 CN: new_year_set, uid:31s1436p14128939, accumulative success, id:20
2018-12-31 10:08:16:700 CN: new_year_set, uid:3s1440p14154970, accumulative success, id:9
2018-12-31 10:08:28:776 CN: new_year_set, uid:16s1437p14137583, accumulative success, id:14
2018-12-31 10:12:28:707 CN: new_year_set, uid:10s1434p135271, accumulative success, id:14
2018-12-31 10:14:22:097 CN: new_year_set, uid:12s1438p12430069, accumulative success, id:9
2018-12-31 11:01:33:684 CN: new_year_set, uid:2s1436p14114648, accumulative success, id:9
2018-12-31 11:12:42:773 CN: new_year_set, uid:6s1440p14163370, accumulative success, id:9
2018-12-31 11:48:16:274 CN: new_year_set, uid:16s1433p14107369, accumulative success, id:2
2018-12-31 11:48:59:910 CN: new_year_set, uid:3s1439p14154922, accumulative success, id:9
2018-12-31 12:08:04:971 CN: new_year_set, uid:10s1438p14142134, accumulative success, id:14
2018-12-31 12:10:16:302 CN: new_year_set, uid:19s1439p14153387, accumulative success, id:2
2018-12-31 12:10:19:060 CN: new_year_set, uid:19s1439p14153387, accumulative success, id:5
2018-12-31 12:27:28:988 CN: new_year_set, uid:18s1432p12976604, accumulative success, id:14
2018-12-31 12:31:20:287 CN: new_year_set, uid:14s1438p14148899, accumulative success, id:2
2018-12-31 12:31:33:181 CN: new_year_set, uid:14s1438p14148899, accumulative success, id:5
2018-12-31 12:55:34:694 CN: new_year_set, uid:14s1438p14148899, accumulative success, id:9
2018-12-31 13:57:25:867 CN: new_year_set, uid:4s1439p14154881, accumulative success, id:9
2018-12-31 15:00:33:977 CN: new_year_set, uid:3s1436p14123839, accumulative success, id:9
2018-12-31 15:48:26:294 CN: new_year_set, uid:24s1433p14108627, accumulative success, id:14
2018-12-31 17:04:00:338 CN: new_year_set, uid:18s1438p2862980, accumulative success, id:9
2018-12-31 17:46:05:951 CN: new_year_set, uid:3s1436p14123839, accumulative success, id:5
2018-12-31 18:01:07:890 CN: new_year_set, uid:56s1431p14084381, accumulative success, id:14
2018-12-31 18:18:06:216 CN: new_year_set, uid:24s1433p14109331, accumulative success, id:14
