2018-12-29 12:03:59:393 CN: new_year_set, uid:4s2717p339315, accumulative success, id:2
2018-12-29 12:38:57:007 CN: new_year_set, uid:5s2716p3326624, accumulative success, id:2
2018-12-29 12:45:50:607 CN: new_year_set, uid:5s2716p3326624, accumulative success, id:5
2018-12-29 12:50:23:154 CN: new_year_set, uid:78s2716p23541221, accumulative success, id:2
2018-12-29 12:55:16:883 CN: new_year_set, uid:16s2717p23860397, accumulative success, id:2
2018-12-29 13:03:58:526 CN: new_year_set, uid:47s2718p23557675, accumulative success, id:2
2018-12-29 13:06:17:643 CN: new_year_set, uid:3s2718p23558637, accumulative success, id:2
2018-12-29 13:11:47:588 CN: new_year_set, uid:56s2716p23508852, accumulative success, id:2
2018-12-29 13:11:58:005 CN: new_year_set, uid:56s2716p23508852, accumulative success, id:5
2018-12-29 13:13:06:100 CN: new_year_set, uid:86s2717p23544943, accumulative success, id:2
2018-12-29 13:13:06:597 CN: new_year_set, uid:16s2718p23558546, accumulative success, id:2
2018-12-29 13:13:07:133 CN: new_year_set, uid:86s2717p23544943, accumulative success, id:5
2018-12-29 13:16:54:557 CN: new_year_set, uid:16s2718p23558546, accumulative success, id:5
2018-12-29 13:21:48:430 CN: new_year_set, uid:56s2717p24431682, accumulative success, id:5
2018-12-29 13:21:50:251 CN: new_year_set, uid:56s2717p24431682, accumulative success, id:2
2018-12-29 13:28:11:878 CN: new_year_set, uid:14s2716p23542086, accumulative success, id:2
2018-12-29 13:28:13:434 CN: new_year_set, uid:14s2716p23542086, accumulative success, id:5
2018-12-29 13:35:58:000 CN: new_year_set, uid:56s2717p23548448, accumulative success, id:2
2018-12-29 13:45:54:983 CN: new_year_set, uid:14s2716p23542873, accumulative success, id:2
2018-12-29 13:46:02:978 CN: new_year_set, uid:3s2720p23561832, accumulative success, id:2
2018-12-29 13:46:03:989 CN: new_year_set, uid:3s2720p23561832, accumulative success, id:5
2018-12-29 13:46:07:179 CN: new_year_set, uid:14s2716p23542873, accumulative success, id:5
2018-12-29 13:49:02:603 CN: new_year_set, uid:16s2719p23567475, accumulative success, id:2
2018-12-29 13:49:16:402 CN: new_year_set, uid:16s2719p23567475, accumulative success, id:5
2018-12-29 14:01:54:403 CN: new_year_set, uid:56s2717p23548448, accumulative success, id:5
2018-12-29 14:04:29:583 CN: new_year_set, uid:4s2716p23542289, accumulative success, id:2
2018-12-29 14:05:22:243 CN: new_year_set, uid:78s2718p23554208, accumulative success, id:2
2018-12-29 14:26:05:288 CN: new_year_set, uid:47s2718p23557675, accumulative success, id:5
2018-12-29 14:52:57:307 CN: new_year_set, uid:18s2717p23534644, accumulative success, id:2
2018-12-29 14:53:08:029 CN: new_year_set, uid:18s2717p23534644, accumulative success, id:5
2018-12-29 15:17:39:164 CN: new_year_set, uid:4s2719p23564269, accumulative success, id:2
2018-12-29 15:26:53:291 CN: new_year_set, uid:86s2720p23608907, accumulative success, id:2
2018-12-29 15:26:55:898 CN: new_year_set, uid:86s2720p23608907, accumulative success, id:5
2018-12-29 15:34:24:477 CN: new_year_set, uid:56s2719p24039483, accumulative success, id:2
2018-12-29 15:34:26:466 CN: new_year_set, uid:56s2719p24039483, accumulative success, id:5
2018-12-29 15:39:24:638 CN: new_year_set, uid:93s2718p19851456, accumulative success, id:2
2018-12-29 15:59:39:378 CN: new_year_set, uid:93s2718p19851456, accumulative success, id:5
2018-12-29 16:18:18:156 CN: new_year_set, uid:16s2717p23860397, accumulative success, id:5
2018-12-29 16:19:22:043 CN: new_year_set, uid:2s2718p23554810, accumulative success, id:2
2018-12-29 16:19:23:632 CN: new_year_set, uid:2s2718p23554810, accumulative success, id:5
2018-12-29 16:21:12:270 CN: new_year_set, uid:4s2720p7152086, accumulative success, id:5
2018-12-29 16:21:13:649 CN: new_year_set, uid:4s2720p7152086, accumulative success, id:2
2018-12-29 16:48:39:231 CN: new_year_set, uid:4s2717p339315, accumulative success, id:5
2018-12-29 16:56:02:810 CN: new_year_set, uid:102s2716p23536939, accumulative success, id:5
2018-12-29 16:56:09:084 CN: new_year_set, uid:102s2716p23536939, accumulative success, id:2
2018-12-29 17:42:35:351 CN: new_year_set, uid:4s2716p23511781, accumulative success, id:2
2018-12-29 17:53:06:833 CN: new_year_set, uid:16s2717p23555293, accumulative success, id:2
2018-12-29 17:53:23:634 CN: new_year_set, uid:4s2716p23511781, accumulative success, id:5
2018-12-29 18:09:58:557 CN: new_year_set, uid:16s2717p23555293, accumulative success, id:5
2018-12-29 18:14:14:738 CN: new_year_set, uid:18s2719p23565852, accumulative success, id:2
2018-12-29 18:17:47:805 CN: new_year_set, uid:18s2719p23565852, accumulative success, id:5
2018-12-29 18:19:22:411 CN: new_year_set, uid:14s2718p23554113, accumulative success, id:2
2018-12-29 18:19:25:635 CN: new_year_set, uid:14s2718p23554113, accumulative success, id:5
2018-12-29 18:37:20:795 CN: new_year_set, uid:18s2719p23568392, accumulative success, id:2
2018-12-29 18:37:25:777 CN: new_year_set, uid:18s2719p23568392, accumulative success, id:5
2018-12-29 18:49:52:986 CN: new_year_set, uid:16s2718p17535889, accumulative success, id:2
2018-12-29 18:49:54:726 CN: new_year_set, uid:16s2718p17535889, accumulative success, id:5
2018-12-29 19:00:55:862 CN: new_year_set, uid:86s2717p24308411, accumulative success, id:2
2018-12-29 19:00:59:236 CN: new_year_set, uid:86s2717p24308411, accumulative success, id:5
2018-12-29 19:16:16:749 CN: new_year_set, uid:86s2716p23531568, accumulative success, id:2
2018-12-29 19:16:20:119 CN: new_year_set, uid:86s2716p23531568, accumulative success, id:5
2018-12-29 19:25:17:759 CN: new_year_set, uid:24s2716p23537362, accumulative success, id:2
2018-12-29 19:31:00:996 CN: new_year_set, uid:102s2717p23538813, accumulative success, id:2
2018-12-29 19:31:04:460 CN: new_year_set, uid:102s2717p23538813, accumulative success, id:5
2018-12-29 19:39:04:112 CN: new_year_set, uid:24s2716p23537362, accumulative success, id:5
2018-12-29 20:31:48:967 CN: new_year_set, uid:16s2717p23551801, accumulative success, id:2
2018-12-29 20:41:57:245 CN: new_year_set, uid:4s2717p23551560, accumulative success, id:2
2018-12-29 20:47:07:956 CN: new_year_set, uid:86s2720p23570644, accumulative success, id:2
2018-12-29 20:47:10:675 CN: new_year_set, uid:86s2720p23570644, accumulative success, id:5
2018-12-29 20:56:45:490 CN: new_year_set, uid:3s2720p23495040, accumulative success, id:2
2018-12-29 20:57:11:543 CN: new_year_set, uid:36s2717p23546943, accumulative success, id:2
2018-12-29 20:57:12:908 CN: new_year_set, uid:36s2717p23546943, accumulative success, id:5
2018-12-29 20:57:30:570 CN: new_year_set, uid:16s2717p23551801, accumulative success, id:5
2018-12-29 21:18:32:379 CN: new_year_set, uid:36s2717p23548520, accumulative success, id:2
2018-12-29 21:21:42:679 CN: new_year_set, uid:16s2718p23553470, accumulative success, id:2
2018-12-29 22:05:24:058 CN: new_year_set, uid:56s2720p23570832, accumulative success, id:2
2018-12-29 22:05:25:895 CN: new_year_set, uid:56s2720p23570832, accumulative success, id:5
2018-12-29 22:19:34:514 CN: new_year_set, uid:19s2720p13162133, accumulative success, id:2
2018-12-29 22:19:51:340 CN: new_year_set, uid:19s2720p13162133, accumulative success, id:5
2018-12-29 22:53:18:115 CN: new_year_set, uid:4s2719p23562357, accumulative success, id:2
2018-12-29 22:53:20:363 CN: new_year_set, uid:4s2719p23562357, accumulative success, id:5
2018-12-29 23:26:30:278 CN: new_year_set, uid:5s2718p23555323, accumulative success, id:2
2018-12-29 23:52:04:027 CN: new_year_set, uid:3s2720p23570456, accumulative success, id:2
2018-12-30 00:28:17:977 CN: new_year_set, uid:56s2718p23555821, accumulative success, id:2
2018-12-30 00:28:22:764 CN: new_year_set, uid:56s2718p23555821, accumulative success, id:5
2018-12-30 00:36:52:517 CN: new_year_set, uid:102s2719p23562901, accumulative success, id:2
2018-12-30 00:39:38:070 CN: new_year_set, uid:102s2716p23541485, accumulative success, id:2
2018-12-30 04:06:30:310 CN: new_year_set, uid:56s2717p23548448, accumulative success, id:9
2018-12-30 06:29:44:721 CN: new_year_set, uid:16s2716p23542531, accumulative success, id:2
2018-12-30 06:29:47:405 CN: new_year_set, uid:16s2716p23542531, accumulative success, id:5
2018-12-30 06:37:44:128 CN: new_year_set, uid:4s2716p23541076, accumulative success, id:2
2018-12-30 06:44:17:843 CN: new_year_set, uid:36s2717p23548520, accumulative success, id:5
2018-12-30 06:47:34:194 CN: new_year_set, uid:4s2716p23541076, accumulative success, id:5
2018-12-30 06:53:11:787 CN: new_year_set, uid:3s2718p23558637, accumulative success, id:5
2018-12-30 07:07:26:276 CN: new_year_set, uid:14s2718p22268549, accumulative success, id:2
2018-12-30 07:11:48:207 CN: new_year_set, uid:16s2716p23542531, accumulative success, id:9
2018-12-30 07:20:27:649 CN: new_year_set, uid:3s2720p23570456, accumulative success, id:5
2018-12-30 07:22:07:067 CN: new_year_set, uid:78s2716p23541221, accumulative success, id:5
2018-12-30 07:37:00:237 CN: new_year_set, uid:102s2719p23567629, accumulative success, id:2
2018-12-30 07:37:02:360 CN: new_year_set, uid:102s2719p23567629, accumulative success, id:5
2018-12-30 07:38:14:378 CN: new_year_set, uid:14s2716p23542086, accumulative success, id:9
2018-12-30 08:35:59:959 CN: new_year_set, uid:5s2718p23555323, accumulative success, id:5
