2018-12-29 12:23:42:848 CN: new_year_set, uid:24s1584p15367532, accumulative success, id:2
2018-12-29 12:23:45:387 CN: new_year_set, uid:24s1584p15367532, accumulative success, id:5
2018-12-29 12:37:25:005 CN: new_year_set, uid:59s1584p15367555, accumulative success, id:2
2018-12-29 12:37:28:205 CN: new_year_set, uid:59s1584p15367555, accumulative success, id:5
2018-12-29 12:37:42:008 CN: new_year_set, uid:56s1590p15328065, accumulative success, id:2
2018-12-29 12:37:45:847 CN: new_year_set, uid:56s1590p15328065, accumulative success, id:5
2018-12-29 12:46:34:822 CN: new_year_set, uid:14s1589p15726660, accumulative success, id:2
2018-12-29 12:46:44:261 CN: new_year_set, uid:14s1589p15726660, accumulative success, id:5
2018-12-29 12:48:13:770 CN: new_year_set, uid:6s1588p14654347, accumulative success, id:2
2018-12-29 12:48:27:211 CN: new_year_set, uid:6s1588p14654347, accumulative success, id:5
2018-12-29 12:57:29:549 CN: new_year_set, uid:3s1585p3499495, accumulative success, id:2
2018-12-29 13:05:26:686 CN: new_year_set, uid:16s1586p15377991, accumulative success, id:2
2018-12-29 13:05:54:134 CN: new_year_set, uid:3s1583p12013770, accumulative success, id:2
2018-12-29 13:07:35:239 CN: new_year_set, uid:3s1585p3499495, accumulative success, id:5
2018-12-29 13:32:43:380 CN: new_year_set, uid:3s1583p12013770, accumulative success, id:5
2018-12-29 13:38:39:017 CN: new_year_set, uid:19s1589p10798971, accumulative success, id:2
2018-12-29 13:49:31:295 CN: new_year_set, uid:19s1589p10798971, accumulative success, id:5
2018-12-29 14:01:52:365 CN: new_year_set, uid:3s1582p7683513, accumulative success, id:2
2018-12-29 14:01:55:604 CN: new_year_set, uid:3s1582p7683513, accumulative success, id:5
2018-12-29 14:14:08:532 CN: new_year_set, uid:31s1582p15350342, accumulative success, id:2
2018-12-29 14:14:10:702 CN: new_year_set, uid:31s1582p15350342, accumulative success, id:5
2018-12-29 14:39:06:120 CN: new_year_set, uid:3s1586p16201137, accumulative success, id:2
2018-12-29 14:39:10:177 CN: new_year_set, uid:3s1586p16201137, accumulative success, id:5
2018-12-29 15:05:35:433 CN: new_year_set, uid:78s1582p15356851, accumulative success, id:5
2018-12-29 15:05:38:349 CN: new_year_set, uid:78s1582p15356851, accumulative success, id:2
2018-12-29 15:11:25:426 CN: new_year_set, uid:4s1582p15082643, accumulative success, id:2
2018-12-29 15:11:28:476 CN: new_year_set, uid:4s1582p15082643, accumulative success, id:5
2018-12-29 15:30:33:094 CN: new_year_set, uid:24s1583p15363612, accumulative success, id:2
2018-12-29 15:30:35:473 CN: new_year_set, uid:24s1583p15363612, accumulative success, id:5
2018-12-29 15:37:56:762 CN: new_year_set, uid:18s1587p15403465, accumulative success, id:2
2018-12-29 15:40:58:234 CN: new_year_set, uid:18s1587p15403465, accumulative success, id:5
2018-12-29 15:49:31:741 CN: new_year_set, uid:5s1581p15345852, accumulative success, id:2
2018-12-29 15:49:34:847 CN: new_year_set, uid:5s1581p15345852, accumulative success, id:5
2018-12-29 16:32:45:221 CN: new_year_set, uid:2s1589p15419494, accumulative success, id:2
2018-12-29 16:32:46:912 CN: new_year_set, uid:2s1589p15419494, accumulative success, id:5
2018-12-29 17:21:21:043 CN: new_year_set, uid:3s1589p15428408, accumulative success, id:2
2018-12-29 17:21:26:394 CN: new_year_set, uid:3s1589p15428408, accumulative success, id:5
2018-12-29 17:48:47:559 CN: new_year_set, uid:14s1585p15448433, accumulative success, id:2
2018-12-29 17:48:49:395 CN: new_year_set, uid:14s1585p15448433, accumulative success, id:5
2018-12-29 18:43:37:235 CN: new_year_set, uid:56s1581p15659950, accumulative success, id:2
2018-12-29 18:43:43:871 CN: new_year_set, uid:56s1581p15659950, accumulative success, id:5
2018-12-29 18:53:06:480 CN: new_year_set, uid:3s1586p15425647, accumulative success, id:2
2018-12-29 19:02:17:045 CN: new_year_set, uid:2s1587p15406757, accumulative success, id:2
2018-12-29 19:02:18:776 CN: new_year_set, uid:2s1587p15406757, accumulative success, id:5
2018-12-29 19:21:19:260 CN: new_year_set, uid:18s1584p15370091, accumulative success, id:2
2018-12-29 19:47:12:383 CN: new_year_set, uid:4s1584p15658772, accumulative success, id:2
