2018-12-29 12:25:11:680 CN: new_year_set, uid:56s1904p17608610, accumulative success, id:2
2018-12-29 12:45:10:743 CN: new_year_set, uid:24s1907p17628662, accumulative success, id:2
2018-12-29 12:57:28:490 CN: new_year_set, uid:24s1907p17628662, accumulative success, id:5
2018-12-29 13:07:38:334 CN: new_year_set, uid:56s1904p17608610, accumulative success, id:5
2018-12-29 13:29:09:481 CN: new_year_set, uid:56s1901p17610222, accumulative success, id:2
2018-12-29 13:29:21:165 CN: new_year_set, uid:56s1901p17610222, accumulative success, id:5
2018-12-29 13:37:27:107 CN: new_year_set, uid:3s1909p9602347, accumulative success, id:2
2018-12-29 13:37:28:556 CN: new_year_set, uid:3s1909p9602347, accumulative success, id:5
2018-12-29 13:42:09:635 CN: new_year_set, uid:24s1906p17624632, accumulative success, id:2
2018-12-29 13:42:11:097 CN: new_year_set, uid:24s1906p17624632, accumulative success, id:5
2018-12-29 13:53:40:603 CN: new_year_set, uid:56s1904p17604591, accumulative success, id:2
2018-12-29 13:53:41:963 CN: new_year_set, uid:56s1904p17604591, accumulative success, id:5
2018-12-29 14:53:51:539 CN: new_year_set, uid:3s1904p12355413, accumulative success, id:2
2018-12-29 14:53:53:918 CN: new_year_set, uid:3s1904p12355413, accumulative success, id:5
2018-12-29 14:56:25:233 CN: new_year_set, uid:19s1901p17586941, accumulative success, id:2
2018-12-29 14:56:28:583 CN: new_year_set, uid:19s1901p17586941, accumulative success, id:5
2018-12-29 14:56:32:266 CN: new_year_set, uid:3s1902p17596836, accumulative success, id:2
2018-12-29 14:58:31:137 CN: new_year_set, uid:3s1902p17596836, accumulative success, id:5
2018-12-29 15:01:34:650 CN: new_year_set, uid:18s1905p17611465, accumulative success, id:2
2018-12-29 15:12:50:318 CN: new_year_set, uid:14s1904p10940860, accumulative success, id:2
2018-12-29 15:12:54:020 CN: new_year_set, uid:14s1904p10940860, accumulative success, id:5
2018-12-29 15:47:48:345 CN: new_year_set, uid:3s1909p6790224, accumulative success, id:2
2018-12-29 15:47:50:013 CN: new_year_set, uid:3s1909p6790224, accumulative success, id:5
2018-12-29 17:07:50:287 CN: new_year_set, uid:3s1903p8426177, accumulative success, id:2
2018-12-29 17:15:10:275 CN: new_year_set, uid:10s1905p17614120, accumulative success, id:2
2018-12-29 17:15:31:164 CN: new_year_set, uid:10s1905p17614120, accumulative success, id:5
2018-12-29 17:58:15:182 CN: new_year_set, uid:4s1907p17609616, accumulative success, id:2
2018-12-29 18:55:51:764 CN: new_year_set, uid:56s1905p17609767, accumulative success, id:2
2018-12-29 18:55:53:319 CN: new_year_set, uid:56s1905p17609767, accumulative success, id:5
2018-12-29 20:04:45:573 CN: new_year_set, uid:4s1903p22287428, accumulative success, id:2
2018-12-29 20:10:32:696 CN: new_year_set, uid:4s1903p22287428, accumulative success, id:5
2018-12-29 20:12:18:162 CN: new_year_set, uid:10s1904p17606392, accumulative success, id:2
2018-12-29 20:12:22:531 CN: new_year_set, uid:10s1904p17606392, accumulative success, id:5
2018-12-29 21:08:23:603 CN: new_year_set, uid:3s1909p17638449, accumulative success, id:2
2018-12-29 21:08:41:043 CN: new_year_set, uid:3s1909p17638449, accumulative success, id:5
2018-12-29 21:42:16:638 CN: new_year_set, uid:5s1910p17641860, accumulative success, id:2
2018-12-29 22:32:53:734 CN: new_year_set, uid:42s1901p17591725, accumulative success, id:2
2018-12-29 22:52:30:313 CN: new_year_set, uid:6s1903p17587243, accumulative success, id:2
2018-12-29 22:52:35:874 CN: new_year_set, uid:6s1903p17587243, accumulative success, id:5
2018-12-29 23:09:29:272 CN: new_year_set, uid:42s1901p17591725, accumulative success, id:5
2018-12-29 23:09:58:980 CN: new_year_set, uid:56s1909p21073656, accumulative success, id:2
2018-12-29 23:09:59:843 CN: new_year_set, uid:56s1909p21073656, accumulative success, id:5
2018-12-29 23:22:59:651 CN: new_year_set, uid:5s1905p17612318, accumulative success, id:2
2018-12-29 23:28:50:277 CN: new_year_set, uid:5s1905p17612318, accumulative success, id:5
2018-12-30 00:00:11:392 CN: new_year_set, uid:16s1901p17589995, accumulative success, id:2
2018-12-30 00:00:16:984 CN: new_year_set, uid:16s1901p17589995, accumulative success, id:5
2018-12-30 00:13:32:863 CN: new_year_set, uid:56s1904p17611431, accumulative success, id:2
2018-12-30 00:13:34:234 CN: new_year_set, uid:56s1904p17611431, accumulative success, id:5
2018-12-30 06:40:45:675 CN: new_year_set, uid:4s1909p17638580, accumulative success, id:2
2018-12-30 07:49:23:990 CN: new_year_set, uid:5s1910p17641860, accumulative success, id:5
2018-12-30 08:00:40:371 CN: new_year_set, uid:18s1905p17611465, accumulative success, id:5
2018-12-30 08:18:21:974 CN: new_year_set, uid:3s1909p6790224, accumulative success, id:9
2018-12-30 08:20:05:010 CN: new_year_set, uid:3s1909p17638449, accumulative success, id:9
2018-12-30 08:24:50:188 CN: new_year_set, uid:16s1901p17589995, accumulative success, id:9
2018-12-30 08:26:34:527 CN: new_year_set, uid:6s1903p17587243, accumulative success, id:9
2018-12-30 08:30:23:703 CN: new_year_set, uid:4s1907p17609616, accumulative success, id:5
2018-12-30 09:10:30:324 CN: new_year_set, uid:24s1907p17628662, accumulative success, id:9
2018-12-30 09:31:37:346 CN: new_year_set, uid:16s1902p17597022, accumulative success, id:2
2018-12-30 09:31:38:807 CN: new_year_set, uid:16s1902p17597022, accumulative success, id:5
2018-12-30 09:47:21:794 CN: new_year_set, uid:4s1901p17621571, accumulative success, id:2
2018-12-30 10:22:07:331 CN: new_year_set, uid:16s1905p17584368, accumulative success, id:2
2018-12-30 10:22:17:903 CN: new_year_set, uid:16s1905p17584368, accumulative success, id:5
2018-12-30 10:46:02:518 CN: new_year_set, uid:3s1906p17615708, accumulative success, id:2
2018-12-30 10:48:20:238 CN: new_year_set, uid:3s1906p17615708, accumulative success, id:5
2018-12-30 11:56:21:595 CN: new_year_set, uid:14s1904p10940860, accumulative success, id:9
2018-12-30 11:58:10:311 CN: new_year_set, uid:56s1904p17604591, accumulative success, id:9
2018-12-30 12:01:35:982 CN: new_year_set, uid:3s1904p12355413, accumulative success, id:9
2018-12-30 12:05:08:978 CN: new_year_set, uid:56s1904p17608610, accumulative success, id:9
2018-12-30 12:07:22:059 CN: new_year_set, uid:14s1902p17595392, accumulative success, id:2
2018-12-30 12:07:25:252 CN: new_year_set, uid:14s1902p17595392, accumulative success, id:5
2018-12-30 12:08:00:228 CN: new_year_set, uid:56s1904p17611431, accumulative success, id:9
2018-12-30 12:20:14:894 CN: new_year_set, uid:14s1904p10940860, accumulative success, id:14
2018-12-30 13:11:26:738 CN: new_year_set, uid:56s1904p17604591, accumulative success, id:14
2018-12-30 13:23:35:970 CN: new_year_set, uid:3s1902p17596836, accumulative success, id:9
2018-12-30 13:25:29:674 CN: new_year_set, uid:4s1908p17645676, accumulative success, id:2
2018-12-30 13:49:24:241 CN: new_year_set, uid:3s1903p8426177, accumulative success, id:5
2018-12-30 13:49:26:046 CN: new_year_set, uid:3s1903p8426177, accumulative success, id:9
2018-12-30 14:05:53:206 CN: new_year_set, uid:14s1910p17639987, accumulative success, id:2
2018-12-30 14:05:55:274 CN: new_year_set, uid:14s1910p17639987, accumulative success, id:5
2018-12-30 14:08:05:384 CN: new_year_set, uid:56s1901p17610222, accumulative success, id:9
2018-12-30 14:10:16:598 CN: new_year_set, uid:4s1907p17609616, accumulative success, id:9
2018-12-30 14:32:51:600 CN: new_year_set, uid:56s1908p17632531, accumulative success, id:2
2018-12-30 14:32:55:070 CN: new_year_set, uid:56s1908p17632531, accumulative success, id:5
2018-12-30 14:45:31:342 CN: new_year_set, uid:4s1908p17628621, accumulative success, id:2
2018-12-30 14:47:08:371 CN: new_year_set, uid:19s1901p17586941, accumulative success, id:9
2018-12-30 14:48:52:500 CN: new_year_set, uid:10s1905p17614120, accumulative success, id:9
2018-12-30 14:49:25:225 CN: new_year_set, uid:4s1908p17628621, accumulative success, id:5
2018-12-30 15:30:04:910 CN: new_year_set, uid:3s1909p17638449, accumulative success, id:14
2018-12-30 18:45:10:068 CN: new_year_set, uid:56s1908p17632531, accumulative success, id:9
2018-12-30 19:11:11:371 CN: new_year_set, uid:18s1904p9407603, accumulative success, id:2
2018-12-30 19:11:12:990 CN: new_year_set, uid:18s1904p9407603, accumulative success, id:5
2018-12-30 19:17:13:716 CN: new_year_set, uid:18s1904p9407603, accumulative success, id:9
2018-12-30 19:33:42:675 CN: new_year_set, uid:3s1904p17607106, accumulative success, id:2
2018-12-30 19:40:56:473 CN: new_year_set, uid:4s1901p15956166, accumulative success, id:2
2018-12-30 19:41:49:857 CN: new_year_set, uid:4s1901p15956166, accumulative success, id:5
2018-12-30 19:51:22:451 CN: new_year_set, uid:4s1909p17638580, accumulative success, id:5
2018-12-30 20:49:48:103 CN: new_year_set, uid:10s1904p17606392, accumulative success, id:9
2018-12-30 21:08:03:596 CN: new_year_set, uid:56s1905p17609767, accumulative success, id:9
2018-12-30 21:57:04:199 CN: new_year_set, uid:16s1902p17731385, accumulative success, id:2
2018-12-30 22:44:33:381 CN: new_year_set, uid:56s1904p17571382, accumulative success, id:2
2018-12-30 22:44:36:915 CN: new_year_set, uid:56s1904p17571382, accumulative success, id:5
2018-12-30 23:23:40:898 CN: new_year_set, uid:5s1905p17612318, accumulative success, id:9
2018-12-30 23:27:28:473 CN: new_year_set, uid:16s1902p17731385, accumulative success, id:5
2018-12-31 00:23:07:603 CN: new_year_set, uid:56s1909p21073656, accumulative success, id:9
2018-12-31 00:24:03:068 CN: new_year_set, uid:3s1909p9602347, accumulative success, id:9
2018-12-31 05:04:00:825 CN: new_year_set, uid:3s1904p12355413, accumulative success, id:14
2018-12-31 06:44:21:278 CN: new_year_set, uid:6s1903p17587243, accumulative success, id:14
2018-12-31 06:44:39:664 CN: new_year_set, uid:6s1903p17587243, accumulative success, id:20
2018-12-31 07:19:29:838 CN: new_year_set, uid:3s1909p17638449, accumulative success, id:20
2018-12-31 07:48:20:978 CN: new_year_set, uid:4s1903p22287428, accumulative success, id:9
2018-12-31 07:58:05:783 CN: new_year_set, uid:16s1905p17584368, accumulative success, id:9
2018-12-31 08:04:34:397 CN: new_year_set, uid:4s1908p17645676, accumulative success, id:5
2018-12-31 08:22:45:813 CN: new_year_set, uid:4s1903p22287428, accumulative success, id:14
2018-12-31 08:26:48:880 CN: new_year_set, uid:24s1906p17624632, accumulative success, id:9
2018-12-31 09:07:06:986 CN: new_year_set, uid:14s1910p17639987, accumulative success, id:9
2018-12-31 09:16:03:199 CN: new_year_set, uid:24s1907p17628662, accumulative success, id:14
2018-12-31 09:20:55:238 CN: new_year_set, uid:56s1904p17604591, accumulative success, id:20
2018-12-31 09:36:59:518 CN: new_year_set, uid:4s1908p17628621, accumulative success, id:9
2018-12-31 09:38:14:370 CN: new_year_set, uid:19s1903p17669032, accumulative success, id:2
2018-12-31 09:52:30:127 CN: new_year_set, uid:56s1904p17611431, accumulative success, id:14
2018-12-31 09:59:25:129 CN: new_year_set, uid:3s1906p17615708, accumulative success, id:9
2018-12-31 10:00:28:639 CN: new_year_set, uid:31s1909p17638618, accumulative success, id:2
2018-12-31 10:00:30:358 CN: new_year_set, uid:31s1909p17638618, accumulative success, id:5
2018-12-31 10:50:38:857 CN: new_year_set, uid:3s1909p6790224, accumulative success, id:14
2018-12-31 11:16:31:209 CN: new_year_set, uid:86s1903p23389701, accumulative success, id:2
2018-12-31 11:18:39:187 CN: new_year_set, uid:5s1910p17641860, accumulative success, id:9
2018-12-31 11:20:50:739 CN: new_year_set, uid:3s1902p17596836, accumulative success, id:14
2018-12-31 11:28:56:751 CN: new_year_set, uid:86s1903p23389701, accumulative success, id:5
2018-12-31 11:36:27:242 CN: new_year_set, uid:3s1903p8426177, accumulative success, id:14
