2018-12-29 12:30:34:116 CN: new_year_set, uid:36s2741p23737699, accumulative success, id:2
2018-12-29 12:30:36:396 CN: new_year_set, uid:36s2741p23737699, accumulative success, id:5
2018-12-29 13:02:53:067 CN: new_year_set, uid:3s2741p23731678, accumulative success, id:2
2018-12-29 13:21:59:001 CN: new_year_set, uid:3s2741p23731678, accumulative success, id:5
2018-12-29 14:11:42:051 CN: new_year_set, uid:19s2741p21194284, accumulative success, id:2
2018-12-29 14:23:49:721 CN: new_year_set, uid:86s2741p23733782, accumulative success, id:2
2018-12-29 14:23:51:673 CN: new_year_set, uid:86s2741p23733782, accumulative success, id:5
2018-12-29 14:47:06:820 CN: new_year_set, uid:16s2741p23725874, accumulative success, id:2
2018-12-29 14:47:08:434 CN: new_year_set, uid:16s2741p23725874, accumulative success, id:5
2018-12-29 18:18:35:351 CN: new_year_set, uid:56s2741p23737467, accumulative success, id:2
2018-12-29 18:18:42:272 CN: new_year_set, uid:56s2741p23737467, accumulative success, id:5
2018-12-29 21:00:38:621 CN: new_year_set, uid:47s2741p23718732, accumulative success, id:2
2018-12-29 21:25:13:572 CN: new_year_set, uid:47s2741p23718732, accumulative success, id:5
2018-12-30 08:29:52:269 CN: new_year_set, uid:36s2741p23737699, accumulative success, id:9
2018-12-30 09:05:55:660 CN: new_year_set, uid:3s2741p23739076, accumulative success, id:2
2018-12-30 09:07:04:714 CN: new_year_set, uid:86s2741p23733782, accumulative success, id:9
2018-12-30 09:15:07:333 CN: new_year_set, uid:3s2741p23739076, accumulative success, id:5
2018-12-30 09:59:20:676 CN: new_year_set, uid:16s2741p23725874, accumulative success, id:9
2018-12-30 10:01:20:690 CN: new_year_set, uid:16s2741p1897036, accumulative success, id:2
2018-12-30 11:38:33:359 CN: new_year_set, uid:3s2741p23731678, accumulative success, id:9
2018-12-30 11:39:35:432 CN: new_year_set, uid:16s2741p1897036, accumulative success, id:5
2018-12-30 13:20:18:910 CN: new_year_set, uid:36s2741p23737699, accumulative success, id:14
2018-12-30 15:15:06:140 CN: new_year_set, uid:36s2741p23734474, accumulative success, id:2
2018-12-30 15:15:07:559 CN: new_year_set, uid:36s2741p23734474, accumulative success, id:5
