2018-12-29 12:44:31:156 CN: new_year_set, uid:56s1400p13841237, accumulative success, id:2
2018-12-29 12:52:24:895 CN: new_year_set, uid:56s1400p13841237, accumulative success, id:5
2018-12-29 13:10:20:775 CN: new_year_set, uid:59s1399p13824434, accumulative success, id:2
2018-12-29 13:26:53:655 CN: new_year_set, uid:56s1399p16811179, accumulative success, id:2
2018-12-29 13:27:48:702 CN: new_year_set, uid:56s1399p16811179, accumulative success, id:5
2018-12-29 13:38:13:503 CN: new_year_set, uid:5s1395p13798614, accumulative success, id:2
2018-12-29 13:39:58:526 CN: new_year_set, uid:3s1391p13763778, accumulative success, id:2
2018-12-29 13:47:38:130 CN: new_year_set, uid:5s1395p13798614, accumulative success, id:5
2018-12-29 13:54:56:296 CN: new_year_set, uid:3s1391p13763778, accumulative success, id:5
2018-12-29 15:04:38:922 CN: new_year_set, uid:56s1392p13769167, accumulative success, id:2
2018-12-29 15:04:40:554 CN: new_year_set, uid:56s1392p13769167, accumulative success, id:5
2018-12-29 18:50:28:132 CN: new_year_set, uid:10s1392p13769156, accumulative success, id:2
2018-12-29 18:50:30:225 CN: new_year_set, uid:10s1392p13769156, accumulative success, id:5
2018-12-29 18:56:18:261 CN: new_year_set, uid:5s1396p13809297, accumulative success, id:2
2018-12-29 18:56:21:921 CN: new_year_set, uid:5s1396p13809297, accumulative success, id:5
2018-12-29 19:10:22:298 CN: new_year_set, uid:18s1392p13766679, accumulative success, id:2
2018-12-29 19:20:38:900 CN: new_year_set, uid:3s1399p8432971, accumulative success, id:2
2018-12-29 19:20:41:447 CN: new_year_set, uid:3s1399p8432971, accumulative success, id:5
2018-12-29 19:35:27:810 CN: new_year_set, uid:3s1396p13807656, accumulative success, id:2
2018-12-29 19:35:55:903 CN: new_year_set, uid:3s1396p13807656, accumulative success, id:5
2018-12-29 20:08:19:136 CN: new_year_set, uid:56s1399p13844402, accumulative success, id:5
2018-12-29 20:08:21:096 CN: new_year_set, uid:56s1399p13844402, accumulative success, id:2
2018-12-29 21:03:00:047 CN: new_year_set, uid:3s1400p12812420, accumulative success, id:2
2018-12-29 21:03:02:260 CN: new_year_set, uid:3s1400p12812420, accumulative success, id:5
2018-12-30 00:06:33:146 CN: new_year_set, uid:78s1400p13826580, accumulative success, id:2
2018-12-30 00:16:30:373 CN: new_year_set, uid:19s1400p13830320, accumulative success, id:2
2018-12-30 01:09:14:313 CN: new_year_set, uid:56s1399p13845177, accumulative success, id:2
2018-12-30 01:09:20:371 CN: new_year_set, uid:56s1399p13845177, accumulative success, id:5
2018-12-30 02:30:45:978 CN: new_year_set, uid:12s1394p2283534, accumulative success, id:2
2018-12-30 08:10:58:696 CN: new_year_set, uid:56s1391p13761608, accumulative success, id:2
2018-12-30 08:11:02:826 CN: new_year_set, uid:56s1391p13761608, accumulative success, id:5
2018-12-30 08:33:42:870 CN: new_year_set, uid:59s1399p13824434, accumulative success, id:5
2018-12-30 08:40:16:246 CN: new_year_set, uid:4s1393p13780502, accumulative success, id:2
2018-12-30 08:40:18:085 CN: new_year_set, uid:4s1393p13780502, accumulative success, id:5
2018-12-30 08:54:53:339 CN: new_year_set, uid:56s1392p13769167, accumulative success, id:9
2018-12-30 09:54:18:273 CN: new_year_set, uid:14s1400p4637577, accumulative success, id:2
2018-12-30 09:54:27:153 CN: new_year_set, uid:14s1400p4637577, accumulative success, id:5
2018-12-30 11:38:34:220 CN: new_year_set, uid:56s1399p16811179, accumulative success, id:9
2018-12-30 11:47:43:850 CN: new_year_set, uid:5s1399p13823828, accumulative success, id:2
2018-12-30 11:47:45:975 CN: new_year_set, uid:5s1399p13823828, accumulative success, id:5
2018-12-30 11:54:43:633 CN: new_year_set, uid:19s1400p13830320, accumulative success, id:5
2018-12-30 11:57:46:317 CN: new_year_set, uid:5s1396p13809297, accumulative success, id:9
2018-12-30 11:58:28:463 CN: new_year_set, uid:5s1399p13823828, accumulative success, id:9
2018-12-30 13:16:41:435 CN: new_year_set, uid:18s1392p13766679, accumulative success, id:5
2018-12-30 13:35:11:674 CN: new_year_set, uid:56s1399p13844402, accumulative success, id:9
2018-12-30 14:03:40:131 CN: new_year_set, uid:5s1395p13798614, accumulative success, id:9
2018-12-30 15:06:37:120 CN: new_year_set, uid:3s1400p14570060, accumulative success, id:2
2018-12-30 15:08:07:314 CN: new_year_set, uid:3s1400p14570060, accumulative success, id:5
2018-12-30 15:39:40:857 CN: new_year_set, uid:18s1396p13808230, accumulative success, id:2
2018-12-30 15:39:42:308 CN: new_year_set, uid:18s1396p13808230, accumulative success, id:5
2018-12-30 17:37:15:907 CN: new_year_set, uid:3s1399p8432971, accumulative success, id:9
2018-12-30 19:51:24:298 CN: new_year_set, uid:10s1392p13769156, accumulative success, id:9
2018-12-30 20:13:04:123 CN: new_year_set, uid:84s1396p13806864, accumulative success, id:2
2018-12-30 20:28:08:693 CN: new_year_set, uid:3s1391p13763778, accumulative success, id:9
2018-12-30 20:54:45:041 CN: new_year_set, uid:19s1391p13761288, accumulative success, id:2
2018-12-30 20:58:45:389 CN: new_year_set, uid:19s1391p13761288, accumulative success, id:5
2018-12-30 21:19:47:634 CN: new_year_set, uid:4s1396p13835528, accumulative success, id:2
2018-12-30 21:19:49:932 CN: new_year_set, uid:4s1396p13835528, accumulative success, id:5
2018-12-30 22:04:54:819 CN: new_year_set, uid:4s1397p13835528, accumulative success, id:2
2018-12-30 22:04:57:217 CN: new_year_set, uid:4s1397p13835528, accumulative success, id:5
2018-12-30 22:11:23:110 CN: new_year_set, uid:56s1392p14351796, accumulative success, id:2
2018-12-30 22:11:24:663 CN: new_year_set, uid:56s1392p14351796, accumulative success, id:5
2018-12-30 23:59:31:276 CN: new_year_set, uid:78s1400p13826580, accumulative success, id:5
2018-12-31 00:07:55:702 CN: new_year_set, uid:78s1400p13826580, accumulative success, id:9
2018-12-31 07:58:32:536 CN: new_year_set, uid:14s1400p4637577, accumulative success, id:9
2018-12-31 09:18:33:283 CN: new_year_set, uid:5s1396p13809297, accumulative success, id:14
2018-12-31 09:39:08:245 CN: new_year_set, uid:14s1391p13763689, accumulative success, id:2
2018-12-31 09:42:17:952 CN: new_year_set, uid:14s1391p13763689, accumulative success, id:5
2018-12-31 09:43:08:932 CN: new_year_set, uid:18s1396p13808230, accumulative success, id:9
2018-12-31 09:56:13:408 CN: new_year_set, uid:12s1394p2283534, accumulative success, id:5
2018-12-31 10:02:57:401 CN: new_year_set, uid:18s1396p13808230, accumulative success, id:14
2018-12-31 10:10:01:882 CN: new_year_set, uid:3s1399p8432971, accumulative success, id:14
2018-12-31 10:15:40:719 CN: new_year_set, uid:56s1399p13845177, accumulative success, id:9
2018-12-31 11:47:31:282 CN: new_year_set, uid:56s1399p16811179, accumulative success, id:14
2018-12-31 11:54:27:805 CN: new_year_set, uid:3s1396p13807656, accumulative success, id:9
2018-12-31 12:11:01:125 CN: new_year_set, uid:4s1397p13982632, accumulative success, id:2
2018-12-31 12:11:04:070 CN: new_year_set, uid:4s1397p13982632, accumulative success, id:5
2018-12-31 12:35:41:868 CN: new_year_set, uid:56s1400p13841237, accumulative success, id:9
2018-12-31 12:56:38:348 CN: new_year_set, uid:19s1391p13761288, accumulative success, id:9
2018-12-31 13:42:31:598 CN: new_year_set, uid:10s1392p13769156, accumulative success, id:14
2018-12-31 13:51:40:814 CN: new_year_set, uid:3s1396p13807656, accumulative success, id:14
2018-12-31 13:55:17:255 CN: new_year_set, uid:56s1399p13844402, accumulative success, id:14
2018-12-31 14:00:43:404 CN: new_year_set, uid:3s1391p13763778, accumulative success, id:14
2018-12-31 14:00:50:247 CN: new_year_set, uid:56s1400p13841237, accumulative success, id:14
2018-12-31 14:51:27:738 CN: new_year_set, uid:42s1392p13767650, accumulative success, id:2
2018-12-31 14:51:29:594 CN: new_year_set, uid:42s1392p13767650, accumulative success, id:5
2018-12-31 18:45:17:348 CN: new_year_set, uid:3s1399p13821772, accumulative success, id:2
2018-12-31 18:45:18:697 CN: new_year_set, uid:3s1399p13821772, accumulative success, id:5
2018-12-31 18:45:21:087 CN: new_year_set, uid:3s1399p13821772, accumulative success, id:9
2018-12-31 19:51:19:763 CN: new_year_set, uid:4s1396p13835528, accumulative success, id:9
2018-12-31 20:15:43:438 CN: new_year_set, uid:18s1392p13766679, accumulative success, id:9
2018-12-31 21:57:52:901 CN: new_year_set, uid:78s1400p13826580, accumulative success, id:14
2018-12-31 22:48:14:611 CN: new_year_set, uid:19s1400p13830320, accumulative success, id:9
2019-01-01 04:31:06:673 CN: new_year_set, uid:56s1400p13841237, accumulative success, id:20
2019-01-01 07:15:14:868 CN: new_year_set, uid:3s1399p8432971, accumulative success, id:20
2019-01-01 08:44:39:182 CN: new_year_set, uid:5s1396p13809297, accumulative success, id:20
2019-01-01 09:10:56:067 CN: new_year_set, uid:56s1391p13761608, accumulative success, id:9
2019-01-01 09:29:46:702 CN: new_year_set, uid:56s1391p13761608, accumulative success, id:14
2019-01-01 09:37:07:840 CN: new_year_set, uid:56s1399p16811179, accumulative success, id:20
2019-01-01 09:51:23:335 CN: new_year_set, uid:3s1396p13807656, accumulative success, id:20
2019-01-01 11:08:04:689 CN: new_year_set, uid:18s1396p13808230, accumulative success, id:20
2019-01-01 12:07:39:660 CN: new_year_set, uid:84s1396p13806864, accumulative success, id:5
2019-01-01 12:07:42:293 CN: new_year_set, uid:84s1396p13806864, accumulative success, id:9
2019-01-01 12:21:57:652 CN: new_year_set, uid:14s1400p4637577, accumulative success, id:14
2019-01-01 12:37:18:854 CN: new_year_set, uid:19s1400p13830320, accumulative success, id:14
2019-01-01 12:52:50:612 CN: new_year_set, uid:56s1399p13844402, accumulative success, id:20
2019-01-01 13:09:31:866 CN: new_year_set, uid:19s1400p13830320, accumulative success, id:20
2019-01-01 13:14:26:510 CN: new_year_set, uid:56s1392p14351796, accumulative success, id:9
2019-01-01 14:13:28:423 CN: new_year_set, uid:10s1392p13769156, accumulative success, id:20
2019-01-01 14:37:33:366 CN: new_year_set, uid:3s1391p13763778, accumulative success, id:20
2019-01-01 14:46:37:798 CN: new_year_set, uid:18s1399p10448285, accumulative success, id:2
2019-01-01 14:58:53:521 CN: new_year_set, uid:3s1400p14570060, accumulative success, id:9
2019-01-01 15:47:55:772 CN: new_year_set, uid:78s1400p13826580, accumulative success, id:20
2019-01-01 19:29:42:552 CN: new_year_set, uid:3s1393p9996596, accumulative success, id:2
2019-01-01 19:33:59:445 CN: new_year_set, uid:3s1393p9996596, accumulative success, id:5
2019-01-01 20:29:19:582 CN: new_year_set, uid:5s1395p13798614, accumulative success, id:14
2019-01-01 20:32:42:881 CN: new_year_set, uid:42s1392p13767650, accumulative success, id:9
2019-01-01 20:32:43:950 CN: new_year_set, uid:42s1392p13767650, accumulative success, id:14
2019-01-01 20:32:44:917 CN: new_year_set, uid:42s1392p13767650, accumulative success, id:20
2019-01-01 20:43:56:188 CN: new_year_set, uid:3s1393p9996596, accumulative success, id:9
2019-01-01 20:45:45:727 CN: new_year_set, uid:56s1391p13761608, accumulative success, id:20
2019-01-01 21:02:59:008 CN: new_year_set, uid:5s1397p13812672, accumulative success, id:2
2019-01-01 21:03:17:980 CN: new_year_set, uid:5s1397p13812672, accumulative success, id:5
2019-01-01 21:10:24:722 CN: new_year_set, uid:5s1397p13812672, accumulative success, id:9
2019-01-01 22:49:33:472 CN: new_year_set, uid:18s1399p10448285, accumulative success, id:5
2018-12-29 12:09:50:431 CN: new_year_set, uid:56s2233p20125542, accumulative success, id:2
2018-12-29 12:23:01:115 CN: new_year_set, uid:56s2233p20125542, accumulative success, id:5
2018-12-29 12:42:14:960 CN: new_year_set, uid:102s2235p20127170, accumulative success, id:2
2018-12-29 12:42:17:202 CN: new_year_set, uid:102s2235p20127170, accumulative success, id:5
2018-12-29 14:11:51:078 CN: new_year_set, uid:9s2237p10583104, accumulative success, id:2
2018-12-29 14:11:54:116 CN: new_year_set, uid:9s2237p10583104, accumulative success, id:5
2018-12-29 16:25:48:063 CN: new_year_set, uid:24s2240p9359150, accumulative success, id:5
2018-12-29 16:25:49:454 CN: new_year_set, uid:24s2240p9359150, accumulative success, id:2
2018-12-29 17:45:15:471 CN: new_year_set, uid:56s2238p20156862, accumulative success, id:2
