2018-12-29 13:06:33:248 CN: new_year_set, uid:78s1699p16309993, accumulative success, id:2
2018-12-29 13:06:44:535 CN: new_year_set, uid:78s1699p16309993, accumulative success, id:5
2018-12-29 13:17:33:358 CN: new_year_set, uid:59s1693p16262039, accumulative success, id:2
2018-12-29 13:17:41:700 CN: new_year_set, uid:59s1693p16262039, accumulative success, id:5
2018-12-29 13:24:33:588 CN: new_year_set, uid:56s1694p21745036, accumulative success, id:2
2018-12-29 13:24:38:434 CN: new_year_set, uid:56s1694p21745036, accumulative success, id:5
2018-12-29 13:46:19:630 CN: new_year_set, uid:16s1697p16287320, accumulative success, id:5
2018-12-29 13:46:23:321 CN: new_year_set, uid:16s1697p16287320, accumulative success, id:2
2018-12-29 14:02:57:838 CN: new_year_set, uid:3s1691p16247179, accumulative success, id:2
2018-12-29 14:02:59:544 CN: new_year_set, uid:3s1691p16247179, accumulative success, id:5
2018-12-29 14:11:00:020 CN: new_year_set, uid:19s1692p15944890, accumulative success, id:2
2018-12-29 14:11:01:091 CN: new_year_set, uid:19s1692p15944890, accumulative success, id:5
2018-12-29 14:19:50:918 CN: new_year_set, uid:3s1696p11592408, accumulative success, id:2
2018-12-29 14:19:52:167 CN: new_year_set, uid:3s1696p11592408, accumulative success, id:5
2018-12-29 14:49:18:537 CN: new_year_set, uid:37s1691p10661394, accumulative success, id:2
2018-12-29 14:49:22:667 CN: new_year_set, uid:37s1691p10661394, accumulative success, id:5
2018-12-29 15:29:34:370 CN: new_year_set, uid:5s1700p16323490, accumulative success, id:2
2018-12-29 15:29:37:305 CN: new_year_set, uid:5s1700p16323490, accumulative success, id:5
2018-12-29 15:54:06:138 CN: new_year_set, uid:66s1699p24915682, accumulative success, id:2
2018-12-29 15:54:08:369 CN: new_year_set, uid:66s1699p24915682, accumulative success, id:5
2018-12-29 16:48:08:342 CN: new_year_set, uid:14s1699p15628829, accumulative success, id:2
2018-12-29 16:48:10:406 CN: new_year_set, uid:14s1699p15628829, accumulative success, id:5
