2018-12-29 12:12:57:449 CN: new_year_set, uid:18s1668p16060575, accumulative success, id:2
2018-12-29 12:13:00:376 CN: new_year_set, uid:18s1668p16060575, accumulative success, id:5
2018-12-29 12:19:13:807 CN: new_year_set, uid:19s1666p16046943, accumulative success, id:2
2018-12-29 12:19:24:357 CN: new_year_set, uid:19s1666p16046943, accumulative success, id:5
2018-12-29 12:32:59:541 CN: new_year_set, uid:4s1664p16034593, accumulative success, id:2
2018-12-29 12:35:58:656 CN: new_year_set, uid:4s1664p16034593, accumulative success, id:5
2018-12-29 12:36:12:684 CN: new_year_set, uid:14s1662p16017456, accumulative success, id:2
2018-12-29 12:36:14:726 CN: new_year_set, uid:14s1662p16017456, accumulative success, id:5
2018-12-29 12:41:07:753 CN: new_year_set, uid:3s1663p16025054, accumulative success, id:2
2018-12-29 12:41:43:890 CN: new_year_set, uid:3s1663p16025054, accumulative success, id:5
2018-12-29 13:32:42:491 CN: new_year_set, uid:4s1665p16039217, accumulative success, id:2
2018-12-29 13:32:45:658 CN: new_year_set, uid:4s1665p16039217, accumulative success, id:5
2018-12-29 14:21:51:043 CN: new_year_set, uid:3s1662p16019330, accumulative success, id:2
2018-12-29 14:22:00:096 CN: new_year_set, uid:3s1662p16019330, accumulative success, id:5
2018-12-29 16:18:22:328 CN: new_year_set, uid:4s1666p21977698, accumulative success, id:2
2018-12-29 16:18:23:844 CN: new_year_set, uid:4s1666p21977698, accumulative success, id:5
2018-12-29 16:55:05:180 CN: new_year_set, uid:54s1666p20402817, accumulative success, id:2
2018-12-29 16:57:59:685 CN: new_year_set, uid:16s1663p16028493, accumulative success, id:2
2018-12-29 17:01:40:004 CN: new_year_set, uid:3s1667p15879147, accumulative success, id:2
2018-12-29 17:01:46:188 CN: new_year_set, uid:3s1667p15879147, accumulative success, id:5
2018-12-29 17:15:16:701 CN: new_year_set, uid:4s1663p16029235, accumulative success, id:5
2018-12-29 17:15:20:968 CN: new_year_set, uid:4s1663p16029235, accumulative success, id:2
2018-12-29 17:15:54:345 CN: new_year_set, uid:33s1662p16684760, accumulative success, id:2
2018-12-29 17:27:57:748 CN: new_year_set, uid:56s1669p16066241, accumulative success, id:2
2018-12-29 17:27:58:705 CN: new_year_set, uid:56s1669p16066241, accumulative success, id:5
2018-12-29 17:31:45:477 CN: new_year_set, uid:3s1666p16048568, accumulative success, id:2
2018-12-29 17:31:51:885 CN: new_year_set, uid:3s1666p16048568, accumulative success, id:5
2018-12-29 17:32:41:518 CN: new_year_set, uid:19s1661p16013140, accumulative success, id:2
2018-12-29 17:32:45:398 CN: new_year_set, uid:19s1661p16013140, accumulative success, id:5
2018-12-29 19:59:01:875 CN: new_year_set, uid:33s1662p5808191, accumulative success, id:2
2018-12-29 19:59:03:371 CN: new_year_set, uid:33s1662p5808191, accumulative success, id:5
2018-12-29 20:23:47:300 CN: new_year_set, uid:56s1665p16061860, accumulative success, id:5
2018-12-29 20:23:49:747 CN: new_year_set, uid:56s1665p16061860, accumulative success, id:2
