2018-12-29 12:10:24:632 CN: new_year_set, uid:5s1532p14908733, accumulative success, id:2
2018-12-29 12:10:26:857 CN: new_year_set, uid:5s1532p14908733, accumulative success, id:5
2018-12-29 12:47:49:944 CN: new_year_set, uid:16s1533p14936067, accumulative success, id:5
2018-12-29 12:47:54:074 CN: new_year_set, uid:16s1533p14936067, accumulative success, id:2
2018-12-29 13:00:10:776 CN: new_year_set, uid:6s1538p14955487, accumulative success, id:2
2018-12-29 13:00:12:361 CN: new_year_set, uid:6s1538p14955487, accumulative success, id:5
2018-12-29 13:03:01:809 CN: new_year_set, uid:9s1539p14965843, accumulative success, id:2
2018-12-29 13:08:11:799 CN: new_year_set, uid:9s1539p14965843, accumulative success, id:5
2018-12-29 13:15:57:567 CN: new_year_set, uid:2s1536p14941411, accumulative success, id:2
2018-12-29 13:16:03:120 CN: new_year_set, uid:2s1536p14941411, accumulative success, id:5
2018-12-29 13:39:55:240 CN: new_year_set, uid:5s1534p14924391, accumulative success, id:2
2018-12-29 13:40:00:876 CN: new_year_set, uid:5s1534p14924391, accumulative success, id:5
2018-12-29 14:02:01:144 CN: new_year_set, uid:56s1536p14935416, accumulative success, id:2
2018-12-29 14:39:26:719 CN: new_year_set, uid:16s1537p14946996, accumulative success, id:2
2018-12-29 14:39:28:841 CN: new_year_set, uid:16s1537p14946996, accumulative success, id:5
2018-12-29 14:42:01:863 CN: new_year_set, uid:3s1533p12050601, accumulative success, id:2
2018-12-29 14:42:05:003 CN: new_year_set, uid:3s1533p12050601, accumulative success, id:5
2018-12-29 14:44:56:481 CN: new_year_set, uid:2s1532p14910283, accumulative success, id:2
2018-12-29 14:44:58:377 CN: new_year_set, uid:2s1532p14910283, accumulative success, id:5
2018-12-29 15:09:40:967 CN: new_year_set, uid:14s1535p14931696, accumulative success, id:2
2018-12-29 16:10:03:228 CN: new_year_set, uid:3s1533p17103926, accumulative success, id:2
2018-12-29 16:41:40:633 CN: new_year_set, uid:3s1533p17103926, accumulative success, id:5
2018-12-29 17:45:58:819 CN: new_year_set, uid:14s1535p14931696, accumulative success, id:5
2018-12-29 18:20:16:440 CN: new_year_set, uid:16s1534p14480392, accumulative success, id:2
2018-12-29 18:34:43:466 CN: new_year_set, uid:6s1533p14919097, accumulative success, id:2
2018-12-29 18:34:46:048 CN: new_year_set, uid:6s1533p14919097, accumulative success, id:5
2018-12-29 18:37:25:197 CN: new_year_set, uid:2s1533p5499675, accumulative success, id:2
2018-12-29 18:37:36:205 CN: new_year_set, uid:2s1533p5499675, accumulative success, id:5
2018-12-29 18:51:09:369 CN: new_year_set, uid:18s1540p14976200, accumulative success, id:2
2018-12-29 18:51:13:970 CN: new_year_set, uid:18s1540p14976200, accumulative success, id:5
2018-12-29 19:05:36:565 CN: new_year_set, uid:56s1540p14963962, accumulative success, id:2
2018-12-29 19:34:23:618 CN: new_year_set, uid:14s1536p14935651, accumulative success, id:2
2018-12-29 19:34:25:805 CN: new_year_set, uid:14s1536p14935651, accumulative success, id:5
2018-12-29 20:26:09:086 CN: new_year_set, uid:56s1536p14935416, accumulative success, id:5
2018-12-29 20:41:25:428 CN: new_year_set, uid:18s1540p22344255, accumulative success, id:2
2018-12-29 20:41:28:257 CN: new_year_set, uid:18s1540p22344255, accumulative success, id:5
2018-12-29 20:45:57:897 CN: new_year_set, uid:3s1532p14906231, accumulative success, id:2
2018-12-29 20:46:02:789 CN: new_year_set, uid:3s1532p14906231, accumulative success, id:5
2018-12-29 21:27:33:722 CN: new_year_set, uid:56s1540p14963962, accumulative success, id:5
2018-12-29 21:46:35:832 CN: new_year_set, uid:56s1534p14925207, accumulative success, id:2
2018-12-29 21:46:39:085 CN: new_year_set, uid:56s1534p14925207, accumulative success, id:5
2018-12-29 22:13:01:835 CN: new_year_set, uid:6s1538p14935448, accumulative success, id:2
2018-12-29 22:13:05:899 CN: new_year_set, uid:6s1538p14935448, accumulative success, id:5
2018-12-29 23:14:54:850 CN: new_year_set, uid:14s1532p14907634, accumulative success, id:2
2018-12-29 23:15:00:367 CN: new_year_set, uid:14s1532p14907634, accumulative success, id:5
2018-12-29 23:39:10:088 CN: new_year_set, uid:59s1539p6613558, accumulative success, id:2
2018-12-30 00:03:00:140 CN: new_year_set, uid:16s1533p15008132, accumulative success, id:2
2018-12-30 00:03:03:967 CN: new_year_set, uid:16s1533p15008132, accumulative success, id:5
2018-12-30 04:57:59:763 CN: new_year_set, uid:16s1534p14480392, accumulative success, id:5
2018-12-30 06:06:58:357 CN: new_year_set, uid:5s1534p14924391, accumulative success, id:9
2018-12-30 07:27:03:373 CN: new_year_set, uid:9s1539p14965843, accumulative success, id:9
2018-12-30 08:01:35:958 CN: new_year_set, uid:3s1533p12050601, accumulative success, id:9
2018-12-30 08:15:53:151 CN: new_year_set, uid:24s1537p14936685, accumulative success, id:2
2018-12-30 08:15:55:478 CN: new_year_set, uid:24s1537p14936685, accumulative success, id:5
2018-12-30 09:32:45:975 CN: new_year_set, uid:18s1533p14918205, accumulative success, id:2
2018-12-30 09:32:48:232 CN: new_year_set, uid:18s1533p14918205, accumulative success, id:5
2018-12-30 09:52:28:825 CN: new_year_set, uid:3s1532p14906231, accumulative success, id:9
2018-12-30 10:23:25:515 CN: new_year_set, uid:14s1536p14935651, accumulative success, id:9
2018-12-30 10:38:14:160 CN: new_year_set, uid:3s1533p17103926, accumulative success, id:9
2018-12-30 11:02:20:590 CN: new_year_set, uid:6s1533p14919097, accumulative success, id:9
2018-12-30 11:14:54:624 CN: new_year_set, uid:16s1533p14936067, accumulative success, id:9
2018-12-30 11:15:20:338 CN: new_year_set, uid:59s1535p14932170, accumulative success, id:2
2018-12-30 11:31:00:841 CN: new_year_set, uid:16s1534p14924758, accumulative success, id:2
2018-12-30 11:31:04:541 CN: new_year_set, uid:16s1534p14924758, accumulative success, id:5
2018-12-30 12:13:54:906 CN: new_year_set, uid:18s1540p14976200, accumulative success, id:9
2018-12-30 12:36:54:504 CN: new_year_set, uid:12s1540p14976593, accumulative success, id:2
2018-12-30 12:36:56:922 CN: new_year_set, uid:12s1540p14976593, accumulative success, id:5
2018-12-30 12:40:21:180 CN: new_year_set, uid:16s1537p14711948, accumulative success, id:2
2018-12-30 12:40:22:772 CN: new_year_set, uid:16s1537p14711948, accumulative success, id:5
2018-12-30 12:43:49:242 CN: new_year_set, uid:14s1532p14907634, accumulative success, id:9
2018-12-30 12:45:24:532 CN: new_year_set, uid:6s1533p14919097, accumulative success, id:14
2018-12-30 12:49:43:730 CN: new_year_set, uid:3s1533p12050601, accumulative success, id:14
2018-12-30 13:05:36:641 CN: new_year_set, uid:56s1534p14925207, accumulative success, id:9
2018-12-30 13:46:13:633 CN: new_year_set, uid:16s1537p14946996, accumulative success, id:9
2018-12-30 15:44:03:543 CN: new_year_set, uid:6s1538p14955487, accumulative success, id:9
2018-12-30 15:44:26:848 CN: new_year_set, uid:5s1532p14908733, accumulative success, id:9
2018-12-30 15:44:30:747 CN: new_year_set, uid:5s1532p14908733, accumulative success, id:14
2018-12-30 15:45:41:543 CN: new_year_set, uid:56s1540p14963962, accumulative success, id:9
2018-12-30 16:48:25:380 CN: new_year_set, uid:2s1533p5499675, accumulative success, id:9
2018-12-30 17:10:22:248 CN: new_year_set, uid:3s1539p14971783, accumulative success, id:2
2018-12-30 18:00:22:326 CN: new_year_set, uid:4s1533p12602877, accumulative success, id:2
2018-12-30 18:00:24:162 CN: new_year_set, uid:4s1533p12602877, accumulative success, id:5
2018-12-30 18:17:09:216 CN: new_year_set, uid:3s1532p14906624, accumulative success, id:2
2018-12-30 18:17:11:998 CN: new_year_set, uid:3s1532p14906624, accumulative success, id:5
2018-12-30 18:17:16:520 CN: new_year_set, uid:9s1539p14965843, accumulative success, id:14
2018-12-30 18:36:10:686 CN: new_year_set, uid:14s1535p14931696, accumulative success, id:9
2018-12-30 19:03:10:577 CN: new_year_set, uid:56s1536p14935416, accumulative success, id:9
2018-12-30 19:10:30:147 CN: new_year_set, uid:3s1532p14906624, accumulative success, id:9
2018-12-30 19:10:56:477 CN: new_year_set, uid:4s1539p5070365, accumulative success, id:2
2018-12-30 19:13:17:152 CN: new_year_set, uid:4s1539p5070365, accumulative success, id:5
2018-12-30 20:06:24:514 CN: new_year_set, uid:18s1540p22344255, accumulative success, id:9
2018-12-30 20:55:39:322 CN: new_year_set, uid:6s1538p14935448, accumulative success, id:9
2018-12-30 21:26:40:012 CN: new_year_set, uid:59s1539p6613558, accumulative success, id:5
2018-12-30 21:29:43:118 CN: new_year_set, uid:59s1539p6613558, accumulative success, id:9
2018-12-30 23:54:54:503 CN: new_year_set, uid:14s1538p8301218, accumulative success, id:2
2018-12-30 23:54:56:480 CN: new_year_set, uid:14s1538p8301218, accumulative success, id:5
2018-12-31 04:48:52:036 CN: new_year_set, uid:5s1534p14924391, accumulative success, id:14
2018-12-31 05:22:48:349 CN: new_year_set, uid:59s1535p14932170, accumulative success, id:5
2018-12-31 06:56:24:528 CN: new_year_set, uid:14s1535p14931696, accumulative success, id:14
2018-12-31 07:35:02:782 CN: new_year_set, uid:6s1533p14919097, accumulative success, id:20
2018-12-31 08:26:20:817 CN: new_year_set, uid:3s1532p14906231, accumulative success, id:14
2018-12-31 08:33:48:017 CN: new_year_set, uid:16s1534p14923040, accumulative success, id:2
