2018-12-29 12:14:40:962 CN: new_year_set, uid:18s153p2046711, accumulative success, id:2
2018-12-29 12:14:53:989 CN: new_year_set, uid:18s153p2046711, accumulative success, id:5
2018-12-29 12:34:49:993 CN: new_year_set, uid:3s159p9661988, accumulative success, id:2
2018-12-29 12:34:51:559 CN: new_year_set, uid:3s159p9661988, accumulative success, id:5
2018-12-29 12:58:49:250 CN: new_year_set, uid:3s155p4968920, accumulative success, id:2
2018-12-29 13:09:08:909 CN: new_year_set, uid:18s151p2110931, accumulative success, id:2
2018-12-29 13:10:01:102 CN: new_year_set, uid:5s159p2218776, accumulative success, id:2
2018-12-29 13:10:02:566 CN: new_year_set, uid:5s159p2218776, accumulative success, id:5
2018-12-29 15:45:15:891 CN: new_year_set, uid:16s155p2120046, accumulative success, id:2
2018-12-29 15:50:31:632 CN: new_year_set, uid:5s153p3330882, accumulative success, id:2
2018-12-29 15:50:32:676 CN: new_year_set, uid:5s153p3330882, accumulative success, id:5
2018-12-29 16:35:23:401 CN: new_year_set, uid:3s159p2367416, accumulative success, id:2
2018-12-29 17:01:10:307 CN: new_year_set, uid:31s159p2160105, accumulative success, id:2
2018-12-29 17:48:43:943 CN: new_year_set, uid:4s153p15318023, accumulative success, id:2
2018-12-29 17:53:25:383 CN: new_year_set, uid:4s153p15318023, accumulative success, id:5
2018-12-29 18:35:44:408 CN: new_year_set, uid:14s155p2104905, accumulative success, id:2
2018-12-29 18:37:16:329 CN: new_year_set, uid:3s154p2079597, accumulative success, id:2
2018-12-29 18:37:18:406 CN: new_year_set, uid:3s154p2079597, accumulative success, id:5
2018-12-29 18:47:50:097 CN: new_year_set, uid:3s153p58634, accumulative success, id:2
2018-12-29 18:47:56:707 CN: new_year_set, uid:3s153p58634, accumulative success, id:5
2018-12-29 18:49:30:252 CN: new_year_set, uid:14s155p2104905, accumulative success, id:5
2018-12-29 18:55:41:493 CN: new_year_set, uid:53s156p20373341, accumulative success, id:2
2018-12-29 18:55:43:699 CN: new_year_set, uid:53s156p20373341, accumulative success, id:5
2018-12-29 19:16:19:612 CN: new_year_set, uid:3s159p2367416, accumulative success, id:5
2018-12-29 19:18:02:638 CN: new_year_set, uid:4s160p6499180, accumulative success, id:2
2018-12-29 19:36:17:486 CN: new_year_set, uid:4s157p1841538, accumulative success, id:5
2018-12-29 19:36:19:167 CN: new_year_set, uid:4s157p1841538, accumulative success, id:2
