2018-12-29 10:45:48:048 CN: new_year_set, uid:62s107p1099222, accumulative success, id:2
2018-12-29 10:56:14:446 CN: new_year_set, uid:62s104p1078365, accumulative success, id:2
2018-12-29 11:40:42:869 CN: new_year_set, uid:62s108p1188503, accumulative success, id:2
2018-12-29 11:40:44:582 CN: new_year_set, uid:62s108p1188503, accumulative success, id:5
2018-12-29 11:49:47:623 CN: new_year_set, uid:62s110p1128596, accumulative success, id:2
2018-12-29 11:49:50:507 CN: new_year_set, uid:62s110p1128596, accumulative success, id:5
2018-12-29 12:01:16:698 CN: new_year_set, uid:62s101p1786884, accumulative success, id:2
2018-12-29 12:04:53:120 CN: new_year_set, uid:62s101p1786721, accumulative success, id:2
2018-12-29 12:04:53:433 CN: new_year_set, uid:62s109p1117533, accumulative success, id:2
2018-12-29 12:04:56:874 CN: new_year_set, uid:62s109p1117533, accumulative success, id:5
2018-12-29 12:14:11:746 CN: new_year_set, uid:62s101p1786884, accumulative success, id:5
2018-12-29 12:29:27:990 CN: new_year_set, uid:62s105p1048121, accumulative success, id:2
2018-12-29 12:29:38:743 CN: new_year_set, uid:62s105p1048121, accumulative success, id:5
2018-12-29 12:33:46:878 CN: new_year_set, uid:62s101p1599769, accumulative success, id:2
2018-12-29 12:38:03:583 CN: new_year_set, uid:62s110p1207690, accumulative success, id:2
2018-12-29 12:38:04:794 CN: new_year_set, uid:62s110p1207690, accumulative success, id:5
2018-12-29 12:40:57:230 CN: new_year_set, uid:62s104p1071541, accumulative success, id:2
2018-12-29 12:41:52:374 CN: new_year_set, uid:62s104p1071541, accumulative success, id:5
2018-12-29 12:44:29:341 CN: new_year_set, uid:62s101p1495938, accumulative success, id:2
2018-12-29 12:50:47:097 CN: new_year_set, uid:62s107p307432, accumulative success, id:2
2018-12-29 12:50:48:844 CN: new_year_set, uid:62s107p307432, accumulative success, id:5
2018-12-29 12:52:45:610 CN: new_year_set, uid:62s103p1067382, accumulative success, id:2
2018-12-29 12:52:47:071 CN: new_year_set, uid:62s103p1067382, accumulative success, id:5
2018-12-29 12:59:07:087 CN: new_year_set, uid:62s110p1460194, accumulative success, id:2
2018-12-29 13:10:56:162 CN: new_year_set, uid:62s101p1786721, accumulative success, id:5
2018-12-29 13:12:16:106 CN: new_year_set, uid:62s101p1053727, accumulative success, id:2
2018-12-29 13:17:57:038 CN: new_year_set, uid:62s105p1342996, accumulative success, id:2
2018-12-29 13:18:17:656 CN: new_year_set, uid:62s105p1342996, accumulative success, id:5
2018-12-29 13:18:36:343 CN: new_year_set, uid:62s101p1053727, accumulative success, id:5
2018-12-29 13:24:38:296 CN: new_year_set, uid:62s108p1157864, accumulative success, id:2
2018-12-29 13:24:39:413 CN: new_year_set, uid:62s108p1157864, accumulative success, id:5
2018-12-29 13:26:42:426 CN: new_year_set, uid:62s108p1106779, accumulative success, id:2
2018-12-29 14:29:26:281 CN: new_year_set, uid:62s101p1495938, accumulative success, id:5
2018-12-29 14:33:37:269 CN: new_year_set, uid:62s106p1956058, accumulative success, id:2
2018-12-29 14:33:41:138 CN: new_year_set, uid:62s106p1956058, accumulative success, id:5
2018-12-29 14:34:03:258 CN: new_year_set, uid:62s108p1107754, accumulative success, id:2
2018-12-29 15:05:00:894 CN: new_year_set, uid:62s101p927780, accumulative success, id:2
2018-12-29 15:05:03:927 CN: new_year_set, uid:62s101p927780, accumulative success, id:5
2018-12-29 15:11:06:332 CN: new_year_set, uid:62s105p1048677, accumulative success, id:2
2018-12-29 15:11:22:691 CN: new_year_set, uid:62s105p1048677, accumulative success, id:5
2018-12-29 15:34:41:750 CN: new_year_set, uid:62s106p1089943, accumulative success, id:2
2018-12-29 15:34:43:146 CN: new_year_set, uid:62s106p1089943, accumulative success, id:5
2018-12-29 15:53:43:214 CN: new_year_set, uid:62s109p1758261, accumulative success, id:2
2018-12-29 15:53:45:854 CN: new_year_set, uid:62s109p1758261, accumulative success, id:5
2018-12-29 16:25:06:928 CN: new_year_set, uid:62s102p1058687, accumulative success, id:5
2018-12-29 16:25:08:198 CN: new_year_set, uid:62s102p1058687, accumulative success, id:2
2018-12-29 18:20:27:799 CN: new_year_set, uid:62s106p1409384, accumulative success, id:2
2018-12-29 18:20:29:691 CN: new_year_set, uid:62s106p1409384, accumulative success, id:5
2018-12-29 18:35:01:978 CN: new_year_set, uid:62s102p918675, accumulative success, id:5
2018-12-29 18:35:03:938 CN: new_year_set, uid:62s102p918675, accumulative success, id:2
2018-12-29 18:35:24:553 CN: new_year_set, uid:62s103p1075462, accumulative success, id:2
2018-12-29 18:52:45:390 CN: new_year_set, uid:62s101p1428375, accumulative success, id:2
2018-12-29 19:09:18:123 CN: new_year_set, uid:62s101p1050801, accumulative success, id:2
2018-12-29 19:36:31:866 CN: new_year_set, uid:62s103p1068908, accumulative success, id:2
2018-12-29 19:36:52:309 CN: new_year_set, uid:62s110p406683, accumulative success, id:2
2018-12-29 20:06:02:461 CN: new_year_set, uid:62s103p1064125, accumulative success, id:2
2018-12-29 20:06:05:495 CN: new_year_set, uid:62s103p1064125, accumulative success, id:5
2018-12-29 20:17:21:137 CN: new_year_set, uid:62s109p1468039, accumulative success, id:2
2018-12-29 20:48:45:025 CN: new_year_set, uid:62s109p1156874, accumulative success, id:2
2018-12-29 20:54:14:849 CN: new_year_set, uid:62s101p295855, accumulative success, id:2
2018-12-29 21:14:07:613 CN: new_year_set, uid:62s106p1440823, accumulative success, id:2
2018-12-29 21:14:09:767 CN: new_year_set, uid:62s106p1440823, accumulative success, id:5
2018-12-29 22:04:54:579 CN: new_year_set, uid:62s109p1122829, accumulative success, id:2
2018-12-29 22:05:49:688 CN: new_year_set, uid:62s109p1122829, accumulative success, id:5
