2018-12-29 12:20:52:601 CN: new_year_set, uid:56s1867p17403014, accumulative success, id:2
2018-12-29 12:20:54:551 CN: new_year_set, uid:56s1867p17403014, accumulative success, id:5
2018-12-29 12:39:13:338 CN: new_year_set, uid:16s1864p17390684, accumulative success, id:2
2018-12-29 12:55:18:494 CN: new_year_set, uid:16s1863p17384380, accumulative success, id:2
2018-12-29 12:55:33:074 CN: new_year_set, uid:16s1863p17384380, accumulative success, id:5
2018-12-29 13:40:57:541 CN: new_year_set, uid:3s1866p23738705, accumulative success, id:2
2018-12-29 13:44:56:271 CN: new_year_set, uid:16s1869p15993451, accumulative success, id:2
2018-12-29 13:46:26:756 CN: new_year_set, uid:14s1869p17426619, accumulative success, id:2
2018-12-29 14:03:37:957 CN: new_year_set, uid:2s1870p17884452, accumulative success, id:2
2018-12-29 17:42:43:578 CN: new_year_set, uid:16s1864p17390684, accumulative success, id:5
2018-12-29 17:45:33:587 CN: new_year_set, uid:5s1866p17383700, accumulative success, id:2
2018-12-29 17:50:10:142 CN: new_year_set, uid:5s1866p17383700, accumulative success, id:5
2018-12-29 19:39:21:342 CN: new_year_set, uid:10s1864p14928115, accumulative success, id:2
2018-12-29 19:39:24:864 CN: new_year_set, uid:10s1864p14928115, accumulative success, id:5
2018-12-29 19:52:30:096 CN: new_year_set, uid:42s1862p17392488, accumulative success, id:2
2018-12-29 19:52:34:127 CN: new_year_set, uid:42s1862p17392488, accumulative success, id:5
2018-12-29 21:02:55:838 CN: new_year_set, uid:64s1866p17399213, accumulative success, id:2
2018-12-29 21:26:36:830 CN: new_year_set, uid:14s1869p17426619, accumulative success, id:5
2018-12-29 21:40:39:998 CN: new_year_set, uid:56s1865p17392296, accumulative success, id:2
2018-12-29 21:40:50:890 CN: new_year_set, uid:56s1865p17392296, accumulative success, id:5
2018-12-29 22:03:07:188 CN: new_year_set, uid:42s1864p17385630, accumulative success, id:2
2018-12-29 22:03:08:478 CN: new_year_set, uid:42s1864p17385630, accumulative success, id:5
2018-12-29 22:16:00:662 CN: new_year_set, uid:5s1870p11654354, accumulative success, id:2
2018-12-29 22:16:04:306 CN: new_year_set, uid:5s1870p11654354, accumulative success, id:5
2018-12-29 22:17:42:656 CN: new_year_set, uid:2s1867p17396503, accumulative success, id:2
2018-12-29 22:17:55:632 CN: new_year_set, uid:2s1867p17396503, accumulative success, id:5
2018-12-29 23:19:49:879 CN: new_year_set, uid:14s1863p4909834, accumulative success, id:2
2018-12-29 23:19:53:013 CN: new_year_set, uid:14s1863p4909834, accumulative success, id:5
2018-12-29 23:33:02:152 CN: new_year_set, uid:19s1869p17465774, accumulative success, id:2
2018-12-30 00:19:00:967 CN: new_year_set, uid:24s1866p17419622, accumulative success, id:2
2018-12-30 00:19:06:483 CN: new_year_set, uid:24s1866p17419622, accumulative success, id:5
2018-12-30 02:25:47:704 CN: new_year_set, uid:56s1866p16913517, accumulative success, id:2
2018-12-30 02:25:54:208 CN: new_year_set, uid:56s1866p16913517, accumulative success, id:5
2018-12-30 08:30:50:983 CN: new_year_set, uid:4s1869p14784124, accumulative success, id:2
2018-12-30 08:30:58:420 CN: new_year_set, uid:4s1869p14784124, accumulative success, id:5
2018-12-30 09:06:43:690 CN: new_year_set, uid:18s1865p17393524, accumulative success, id:2
2018-12-30 09:06:50:068 CN: new_year_set, uid:18s1865p17393524, accumulative success, id:5
2018-12-30 09:33:07:463 CN: new_year_set, uid:6s1865p17362266, accumulative success, id:2
2018-12-30 10:19:00:251 CN: new_year_set, uid:56s1862p17381398, accumulative success, id:2
2018-12-30 10:45:38:376 CN: new_year_set, uid:56s1862p17381398, accumulative success, id:5
2018-12-30 10:58:55:380 CN: new_year_set, uid:56s1862p17381398, accumulative success, id:9
2018-12-30 11:02:43:576 CN: new_year_set, uid:3s1866p23738705, accumulative success, id:5
2018-12-30 11:02:45:883 CN: new_year_set, uid:3s1866p23738705, accumulative success, id:9
2018-12-30 11:06:20:366 CN: new_year_set, uid:42s1862p17392488, accumulative success, id:9
2018-12-30 11:33:48:002 CN: new_year_set, uid:5s1866p17383700, accumulative success, id:9
2018-12-30 11:37:46:877 CN: new_year_set, uid:56s1867p17403014, accumulative success, id:9
2018-12-30 11:41:26:539 CN: new_year_set, uid:56s1866p16913517, accumulative success, id:9
2018-12-30 11:42:11:042 CN: new_year_set, uid:18s1865p17393524, accumulative success, id:9
2018-12-30 12:17:06:897 CN: new_year_set, uid:5s1862p17382566, accumulative success, id:2
2018-12-30 12:17:17:196 CN: new_year_set, uid:5s1862p17382566, accumulative success, id:5
2018-12-30 12:27:48:750 CN: new_year_set, uid:5s1870p17406401, accumulative success, id:2
2018-12-30 12:27:50:090 CN: new_year_set, uid:5s1870p17406401, accumulative success, id:5
2018-12-30 12:47:14:786 CN: new_year_set, uid:6s1865p17362266, accumulative success, id:5
2018-12-30 12:59:01:880 CN: new_year_set, uid:3s1863p17383416, accumulative success, id:2
2018-12-30 12:59:04:706 CN: new_year_set, uid:3s1863p17383416, accumulative success, id:5
2018-12-30 13:40:53:108 CN: new_year_set, uid:56s1869p17414796, accumulative success, id:2
2018-12-30 13:40:54:515 CN: new_year_set, uid:56s1869p17414796, accumulative success, id:5
2018-12-30 13:41:36:784 CN: new_year_set, uid:56s1866p16913517, accumulative success, id:14
2018-12-30 14:51:42:884 CN: new_year_set, uid:14s1867p16537400, accumulative success, id:2
2018-12-30 15:24:55:010 CN: new_year_set, uid:14s1867p16537400, accumulative success, id:5
2018-12-30 16:24:04:658 CN: new_year_set, uid:16s1864p17390684, accumulative success, id:9
2018-12-30 19:01:56:907 CN: new_year_set, uid:93s1870p17429544, accumulative success, id:2
2018-12-30 19:02:01:492 CN: new_year_set, uid:93s1870p17429544, accumulative success, id:5
2018-12-30 19:02:41:210 CN: new_year_set, uid:14s1864p11884349, accumulative success, id:2
2018-12-30 19:02:43:406 CN: new_year_set, uid:14s1864p11884349, accumulative success, id:5
2018-12-30 19:05:49:047 CN: new_year_set, uid:2s1865p17420124, accumulative success, id:2
2018-12-30 19:05:51:740 CN: new_year_set, uid:2s1865p17420124, accumulative success, id:5
2018-12-30 19:11:53:135 CN: new_year_set, uid:3s1863p17383416, accumulative success, id:9
2018-12-30 19:20:31:074 CN: new_year_set, uid:2s1865p17420124, accumulative success, id:9
2018-12-30 19:40:39:151 CN: new_year_set, uid:18s1867p16551320, accumulative success, id:2
2018-12-30 19:40:40:917 CN: new_year_set, uid:18s1867p16551320, accumulative success, id:5
2018-12-30 19:46:13:501 CN: new_year_set, uid:93s1870p17429544, accumulative success, id:9
2018-12-30 19:56:23:546 CN: new_year_set, uid:42s1864p17385630, accumulative success, id:9
2018-12-30 19:56:38:883 CN: new_year_set, uid:14s1865p17395077, accumulative success, id:2
2018-12-30 21:43:55:912 CN: new_year_set, uid:56s1865p17392296, accumulative success, id:9
2018-12-30 23:09:56:729 CN: new_year_set, uid:19s1869p17465774, accumulative success, id:5
2018-12-30 23:52:57:799 CN: new_year_set, uid:14s1863p4909834, accumulative success, id:9
2018-12-31 07:06:11:733 CN: new_year_set, uid:4s1862p17381235, accumulative success, id:2
2018-12-31 08:47:22:830 CN: new_year_set, uid:6s1865p17362266, accumulative success, id:9
2018-12-31 09:40:37:592 CN: new_year_set, uid:4s1869p14784124, accumulative success, id:9
2018-12-31 09:51:11:680 CN: new_year_set, uid:5s1869p17414318, accumulative success, id:2
2018-12-31 09:51:24:582 CN: new_year_set, uid:5s1869p17414318, accumulative success, id:5
2018-12-31 09:57:48:902 CN: new_year_set, uid:3s1866p23738705, accumulative success, id:14
